name,logo,image,image_upright,image_caption,trading_name,former_name,type,traded_as,industry,area_served,key_people,products,services,revenue,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,founders,founded,hq_location,hq_location_city,hq_location_country,num_employees,website,footnotes,_company_name,logo_alt,image_alt,trade_name,founder,brands,logo_size,image_size,location,subsid,owner,foundation,predecessor,num_employees_year,former_names,ISIN,logo_upright,logo_caption,num_locations,num_locations_year,module,parent,homepage,predecessors,owners,location_city,location_country,divisions,locations,members,members_year,production,defunct,fate,successor,native_name,logo_class,genre
ASML Holding N.V.,[[File:ASML Holding N.V. logo.svg|frameless|upright=1.05|class=skin-invert]],ASML headquarters Veldhoven.jpg,1.1,Corporate headquarters in [[Veldhoven]],,,[[Public company|Public]],{{Unbulleted list|EuronextAmsterdam|ASML|NL0010273215|XAMS|[[AEX index|AEX]] component|NASDAQ|ASML|[[Nasdaq-100]] component|OTC Pink|ASMLF}} {{EuronextAmsterdam|ASML|NL0010273215|XAMS}} {{NASDAQ|ASML}} {{OTC Pink|ASMLF}},[[Semiconductor industry]],,{{ubl|Christophe Fouquet ([[Chief executive officer|CEO]])|Nils Andersen ([[chairman]] of the [[supervisory board]])}},[[Photolithography]] systems for the [[semiconductor]] industry,,{{increase}} {{€|28.26&nbsp;billion|link|=|yes}} (2024),,{{decrease}} {{€|9.023&nbsp;billion}} (2024),,{{decrease}} {{€|7.572&nbsp;billion}} (2024),,{{increase}} {{€|48.59&nbsp;billion}} (2024),,{{increase}} {{€|18.48&nbsp;billion}} (2024),,,{{Unbulleted list | |Start date and age|1984| (joint venture) | |Start date and age|1988| (independent company)}} {{Start date and age|1984}} (joint venture) {{Start date and age|1988}} (independent company),"[[Veldhoven]], Netherlands",,,"43,395 (2024)",{{URL|https://www.asml.com/|asml.com}},,ASML Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AstraZeneca plc,AstraZeneca.svg,Astra-Zeneca-Central-Cambridge.jpg,,AstraZeneca's headquarters in Cambridge,,,[[Public limited company|Public]],{{unbulleted list|lse|AZN|nowrap|OMX|SSE3524|AZN|Nasdaq|AZN| ([[American depository shares|ADR]])|[[FTSE 100]] component|[[OMX Stockholm 30]] component|[[Nasdaq-100]] component}} {{lse|AZN}} {{nowrap|OMX|SSE3524|AZN}} {{OMX|SSE3524|AZN}} {{Nasdaq|AZN}} ([[American depository shares|ADR]]),"{{Ubl
| [[Pharmaceutical industry|Pharmaceutical]]
| [[Biotechnology]]}}",Global,"{{Ubl
| Michel Demaré ([[chairman]])
| [[Pascal Soriot|Sir Pascal Soriot]] ([[Chief executive officer|CEO]])}}",{{hlist|[[Medication|Pharmaceutical drugs]]|[[vaccine]]s}},,{{increase}} [[United States dollar|US$]]54.073&nbsp;billion (2024),,{{increase}} US$10.003&nbsp;billion (2024),,{{increase}} US$7.041&nbsp;billion (2024),,{{nowrap|increase| US$104.035&nbsp;billion (2024)|ref| name=results}} {{increase}} US$104.035&nbsp;billion (2024),,{{increase}} US$40.871&nbsp;billion (2024),,,{{start date and age|df|=|yes|1999|4|6}},{{nowrap|[[Cambridge Biomedical Campus]]}},[[Cambridge]],England,"89,900 (2025)",{{URL|https://astrazeneca.com}},,AstraZeneca,,,,,,,,,{{unbulleted list|[[Alexion Pharmaceuticals]]|[[MedImmune]]}},,,,,,{{ISIN|sl|=|n|pl|=|y|GB0009895292}},,,,,,,,{{ubl|[[Astra AB]]|[[Zeneca|Zeneca Group plc]]}},,,,,,,,,,,,,,
Atlassian Corporation,Atlassian-horizontal-blue-rgb.svg,George Place Sydney 001.jpg,,"George Place, where Atlassian's Sydney headquarters are located",,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|TEAM| (Class A)|[[Nasdaq-100]] component}} {{NASDAQ|TEAM}} (Class A),Software,,{{ubl|[[Shona Brown]] (chair)|Mike Cannon-Brookes (CEO)}},"{{plainlist|
* [[Jira (software)|Jira]]
* [[Confluence (software)|Confluence]]
* [[Hipchat]]/[[Stride (software)|Stride]] (discontinued)
* [[Bitbucket]]/[[Bitbucket Server]]
* [[Fisheye (software)|Fisheye]] (discontinued)
* [[Crucible (software)|Crucible]] (discontinued)
* [[Trello]]
*[[Loom, Inc.| Loom]]}}",,{{increase}} {{US$|5.22&nbsp;billion|link|=|yes}} (2025),,{{decrease}} {{US$|−130&nbsp;million}} (2025),,{{increaseNegative}} {{US$|−257&nbsp;million}} (2025),,{{increase}} {{US$|6.04&nbsp;billion}} (2025),,{{increase}} {{US$|1.35&nbsp;billion}} (2025),,{{ubl|[[Mike Cannon-Brookes]]|[[Scott Farquhar]]}},,,"[[Sydney]], [[New South Wales]]","[[Australia]]<br/>[[San Francisco]], [[United States]]","13,813 (2025)",{{URL|https://atlassian.com/}},,Atlassian,,,,,,,,,The Browser Company,,{{start date and age|2002|df|=|yes}} in Sydney,,,,{{ISIN|sl|=|n|pl|=|y|GB00BZ09BD16}},,,,,,,,,{{ubl|Mike Cannon-Brookes (20%)|Scott Farquhar (20%)}},,,,,,,,,,,,,
"Autodesk, Inc.",Autodesk Logo 2021.svg {{!}} class=skin-invert-image,,,,,,[[Public company|Public]],{{ubl|NASDAQ|ADSK|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ADSK}},[[Software]],,{{ubl|[[Crawford W. Beveridge]] ([[chairman]])|[[Andrew Anagnost]] ([[Chief executive officer|CEO]])}},[[#Products|See § Products]],,{{nowrap| |Increase| |US$|6.13&nbsp;billion|link|=|yes| (2025)}} {{Increase}} {{US$|6.13&nbsp;billion|link|=|yes}} (2025),,{{nowrap| |Increase| |US$|1.35&nbsp;billion| (2025)}} {{Increase}} {{US$|1.35&nbsp;billion}} (2025),,{{Increase}} {{US$|1.11&nbsp;billion}} (2025),,{{Increase}} {{US$|10.8&nbsp;billion}} (2025),,{{Increase}} {{US$|2.62&nbsp;billion}} (2025),,{{Unbulleted list|[[John Walker (programmer)|John Walker]]| Dan Drake}},"{{Start date and age|1982|1|30}} , in [[Mill Valley, California]], U.S.","[[One Market Plaza]], {{nowrap|[[San Francisco, California]], U.S.}}",,,"15,300 (2025)",{{URL|https://www.autodesk.com/|autodesk.com}},Financials {{as of|2025|01|31|lc|=|y|df|=|US}} .,Autodesk,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,
"Automatic Data Processing, Inc.",Automatic Data Processing (logo).svg,ADP Headquarters.jpg,1.1,"Headquarters in Roseland, New Jersey",,"Automatic Payrolls, Inc.",[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|ADP|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ADP}},{{ubl|[[Business service provider|Business services]]|[[Software]]}},,"{{unbulleted list
| Maria Black ([[Chief executive officer|CEO]])
| John Ayala ([[Chief operating officer|COO]])
| Gus Blanchard (CMO)}}",,"Human resource, payroll, tax and benefits administration tools","{{increase}} {{US$|20.6&nbsp;[[1,000,000,000|billion]]|link|=|yes}} (2025)",,{{increase}} US$5.41&nbsp;billion (2025),,{{increase}} US$4.08&nbsp;billion (2025),,{{decrease}} US$53.4&nbsp;billion (2025),,{{increase}} US$6.19&nbsp;billion (2025),,,"{{Start date and age|1949}} (as Automatic Payrolls, Inc.) {{break}} [[Paterson, New Jersey]], U.S.","[[Roseland, New Jersey]], U.S.",,,"{{circa|67,000}} (2025)",{{URL|https://www.adp.com/|adp.com}},Financials {{as of|2025|06|30|lc|=|y|df|=|US}} .,Automatic Data Processing,,,ADP,[[Henry Taub]],,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,
"Axon Enterprise, Inc.",AXON Company logo.svg,,,,,"{{plainlist|
* AIR TASER, Inc. (1993–1998)
* TASER International, Inc. (1998–2017)}}",[[Public company|Public]],{{ubl|NASDAQ|AXON|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|AXON}},,,{{unbulleted list|Patrick W. Smith ([[Chief executive officer|CEO]])| Joshua Isner ([[President (corporate title)|president]])}},{{ubl|[[Body worn video|Body worn cameras]]|[[Digital evidence]] management|[[Electroshock weapon]]s}},,{{increase}} {{US$|2.08 billion|link|=|yes}} (2024),,{{down}} {{US$|59 million}} (2024),,{{increase}} {{US$|377 million}} (2024),,{{increase}} {{US$|4.47 billion}} (2024),,{{increase}} {{US$|2.33 billion}} (2024),,{{unbulleted list|Patrick W. Smith|Thomas P. Smith}},{{Start date and age|1993}},"[[Scottsdale, Arizona]], U.S.",,,"4,100",{{url|axon.com}},,Axon Enterprise,,,,,,,,,,,,,December 2024,,,,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Company,Baker Hughes logo.svg,Baker Hughes.jpg,,"Headquarters in the [[Energy Corridor]], Houston, Texas",,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|BKR| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|BKR}} (Class A),[[Petroleum industry]],,[[Lorenzo Simonelli (business manager)|Lorenzo Simonelli]] ([[Chairman#Public corporations|chairman]] & [[Chief executive officer|CEO]]),,,{{increase}} {{US$|27.83 billion|link|=|yes}} (2024),,{{increase}} US$3.081 billion (2024),,{{increase}} US$3.008 billion (2024),,{{nowrap|increase| US$38.36 billion (2024)}} {{increase}} US$38.36 billion (2024),,{{increase}} US$17.06 billion (2024),,,{{Start date and age|1908}} (as Hughes Tool Company)<br> {{Start date and age|1987}} (as Baker Hughes),"[[Houston, Texas]], U.S.",,,"{{circa|57,000}} (2024)",{{URL|bakerhughes.com}},,Baker Hughes,,,,,,,,,,,,,,"Baker Hughes Incorporated (1987–2017)<br />Baker Hughes, a GE Company (2017–2019)",{{ISIN|sl|=|n|pl|=|y|US05722G1004}},,,,,,,,{{unbulleted list| [[Hughes Tool Company]] | Baker Oil Tool Company}},,,,,,,,,,,,,,
Biogen Inc.,Biogen.svg,Biogen.jpg,,"Headquarters in [[Cambridge, Massachusetts]]",,Biogen Idec Inc. (2003–2015),[[Public company|Public]],"{{unbulleted list
| |NASDAQ|BIIB|
| [[Nasdaq-100]] component
| [[S&P 500]] component}} {{NASDAQ|BIIB}}",[[Biotechnology]],,{{ubl|Caroline Dorsa ([[chairman]])|[[Chris Viehbacher]] ([[Chief executive officer|CEO]])}},{{hlist|[[Interferon beta-1a#Avonex|Avonex]]| [[4-Aminopyridine|Fampyra]]| [[Interferon beta-1a#Plegridy|Plegridy]]| [[Dimethyl fumarate|Tecfidera]]| [[Natalizumab|Tysabri]]| [[Nusinersen|Spinraza]]}},,{{decrease}} {{US$|9.676 billion|link|=|yes}} (2024),,{{increase}} US$1.906 billion (2024),,{{increase}} US$1.632 billion (2024),,{{increase}} US$28.05 billion (2024),,{{increase}} US$16.72 billion (2024),,{{ubl|[[Kenneth Murray (biologist)|Kenneth Murray]]|[[Phillip Allen Sharp]]|[[Walter Gilbert]]|Heinz Schaller|[[Charles Weissmann]]}},{{Start date and age|1978}},"{{nowrap|[[Cambridge, Massachusetts]], U.S.}}",,,"7,605 (2024)",{{url|biogen.com}},,Biogen,,,,,,250px,240px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booking Holdings Inc.,Booking Holdings Inc. Logo.svg,,,,,{{ubl|Priceline.com Incorporated (1998–2014)|The Priceline Group Inc. (2014–2018)}},[[Public company|Public]],{{ubl|NASDAQ|BKNG|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|BKNG}},{{unbulleted list|[[Travel]]|[[Technology]]}},,"{{ubl|Glenn D. Fogel ([[Director (business)|director]] and [[Chief executive officer|CEO]])|Robert J. Mylod Jr. ([[Chair (officer)|Chair of Board]])|Peter J. Millones, Jr. ([[General counsel]])|Paulo Pisano ([[Chief human resources officer|CHRO]])}}",{{unbulleted list|[[Booking.com]]|[[Priceline.com]]|[[Agoda]]|Rentalcars.com|[[Kayak (company)|Kayak]]|[[OpenTable]]|Rocketmiles|FareHarbor|[[HotelsCombined]]|[[Cheapflights]]|[[momondo]]}},,{{increase}} {{US$|23.74 billion|link|=|yes}} (2024),,{{increase}} US$7.555 billion (2024),,{{increase}} US$5.882 billion (2024),,{{up}} US$27.71 billion (2024),,{{increasenegative}} US$&minus;4.02 billion (2024),,,{{Start date and age|1996}},,,,"{{increase}} {{circa|24,300}} (2024)",{{URL|bookingholdings.com}},,Booking Holdings,,,,[[Jay S. Walker]],,,,,,,,,,,,,,,,,,,,,"[[Norwalk, Connecticut]]",U.S.,,,,,,,,,,,
Broadcom Inc.,[[File:Broadcom logo (2016-present).svg|frameless|upright=1.2|class=skin-invert]],Broadcom Headquarters San Jose.jpg,1.2,Former headquarters in [[North San Jose]],,,[[Public company|Public]],{{ubl|NASDAQ|AVGO|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|AVGO}},{{ubl|[[Semiconductor industry|Semiconductor]]|[[Computer software]]}},,[[Henry Samueli]] ([[chairman]])<br />[[Hock Tan]] ([[President (corporate title)|president]] and [[Chief executive officer|CEO]]),,,{{increase}} {{US$|51.57 billion|link|=|yes}} (2024),,{{decrease}} {{US$|13.46 billion}} (2024),,{{decrease}} {{US$|5.895 billion}} (2024),,{{increase}} {{US$|165.6 billion}} (2024),,{{increase}} {{US$|67.68 billion}} (2024),,,{{start date and age|df|=|yes|1961}},[[Stanford Research Park]],"[[Palo Alto, California]]",U.S.,"37,000 (2024)",{{URL|https://www.broadcom.com/|broadcom.com}},,Broadcom,,,,,,,,,[[VMware]],,,,,{{ubli|HP Associates (1961|nbndash|1999)|Agilent Semiconductor Products Group (1999|nbndash|2005)|Avago Technologies (2005|nbndash|2016)|Broadcom Limited (2016|nbndash|2018)}} {{nbndash}} 1999) {{nbndash}} 2005) {{nbndash}} 2016) {{nbndash}} 2018),,,,,,,,,,,,,,,,,,,,,,,
"Cadence Design Systems, Inc.",Cadence-Logo.svg,CadenceHQ.jpg,1.15,"Headquarters in San Jose, California",,,[[Public company|Public]],{{ubl|NASDAQ|CDNS|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CDNS}},[[Software]],,"[[Anirudh Devgan]] ([[President (corporate title)|president]], [[Chief executive officer|CEO]])",,,{{increase}} {{US$|4.64 billion|link|=|yes}} (2024),,{{increase}} US$1.35 billion (2024),,{{increase}} US$1.06 billion (2024),,{{increase}} US$8.97 billion (2024),,{{increase}} US$4.67 billion (2024),,{{ubl|[[James Solomon]]|[[A. Richard Newton|Richard Newton]]|[[Alberto Sangiovanni-Vincentelli]]}},"{{Start date and age|1983}} in San Jose, California as Solomon Design Automation (SDA), renamed Cadence Design Systems in 1988","{{nowrap|[[San Jose, California]], U.S.}}",,,"{{approx.|11,700}} (December 2024)",{{URL|https://www.cadence.com/|cadence.com}},,Cadence Design Systems,,,,,,,,,,,,,,,,1.15,,,,,,,"{{ubl|Solomon Design Automation| [[ECAD, Inc.]]}}",,,,,,,,,,,,,,
CDW Corporation,Cdw-c-orbital-logo-2023-rgb.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|CDW|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CDW}},[[Business-to-business|B2B]] [[IT]] products and services,,{{ubl|Christine Leahy |nowrap|([[chairman]] & [[Chief executive officer|CEO]])}} {{nowrap|([[chairman]] & [[Chief executive officer|CEO]])}},{{ubl|[[Desktop computer|Desktops]]|[[Server (computing)|Servers]]|[[Laptops]]|[[Peripherals]]|[[Software]]|[[Telephony|Telephony products]]|[[Electric power|Power]]|[[Data storage device|Storage]]}},,{{decrease}} {{US$|21.0&nbsp;billion|link|=|yes}} (2024),,{{decrease}} US$1.65&nbsp;billion (2024),,{{decrease}} US$1.08&nbsp;billion (2024),,{{increase}} US$14.7&nbsp;billion (2024),,{{increase}} US$2.35&nbsp;billion (2024),,,{{Start date and age|1984}},,,,"{{nowrap|15,100 (2024)}}",{{URL|cdw.com}},,CDW Corporation,,,,[[Michael Krasny (businessman)|Michael Krasny]],,150px,,"[[Vernon Hills, Illinois]], U.S.",,,,,,,{{ISIN|sl|=|n|pl|=|y|US12514G1085}},,,,,,,,,,,,,,,,,,,,,,
"Charter Communications, Inc.",Charter Communications Logo.svg,Charter Spectrum Headquarters.jpg,,"Headquarters of Charter Communications in Stamford, Connecticut",,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|CHTR| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CHTR}} (Class A),[[Telecommunication]]s<br>[[Mass media]] ([[Internet]]),41 states,{{ubl|[[Eric Zinterhofer]] ([[chairman]])|Chris Winfrey ([[President (corporate title)|president]] and [[Chief executive officer|CEO]])}},{{ubl|[[Broadband]]|[[Cable television]]|[[Digital cable]]|[[Cable telephony|Digital telephone]]|[[High-definition television|HDTV]]|[[Home security]]|[[VoIP phone]]|[[Internet security]]}},,{{nowrap|increase| US$55.09 billion (2024)|ref| name=10-K}} {{increase}} US$55.09 billion (2024),,{{increase}} US$13.12 billion (2024),,{{increase}} US$5.083 billion (2024),,{{increase}} US$150.0 billion (2024),,{{increase}} US$19.71 billion (2024),,{{ubl|Barry Babcock|Jerald Kent|Howard Wood}},,,"[[Stamford, Connecticut]]",U.S.,"94,500 (2024)",{{URL|https://corporate.charter.com/}},,Charter Communications,,,,,[[Charter Spectrum|Spectrum]],,,,,,"{{Start date and age|1993}} in [[St. Louis]], Missouri, U.S.",,,,,,,,,{{infobox network service provider|child|=|yes|asn|=|7843}},,,"{{ubl
 | [[Time Warner Cable]]
 | [[Bright House Networks]]
 | [[Cox Communications]] (pending)}}","{{ubl|[[Liberty Media]] (23.3%)|ref|{{cite news |url=https://finance.yahoo.com/news/3-reasons-love-charter-communications-121500984.html |title=3 Reasons to Love Charter Communications |date=September 14, 2019 |publisher=[[Yahoo! Finance]] |first=Jim |last=Royal |access-date=May 17, 2019 |archive-url=https://web.archive.org/web/20190517221325/https://finance.yahoo.com/news/3-reasons-love-charter-communications-121500984.html |archive-date=May 17, 2019 |url-status=live }}|</ref>|[[Advance Publications]] (13%)|ref|{{cite news |url=https://www.reuters.com/article/idUSFWN18O0DE|title=BRIEF-Newhouse Broadcasting reports 13 pct stake in Charter Communications |date=May 27, 2016 |publisher=Reuters |access-date=April 12, 2021 }}|</ref>|[[Berkshire Hathaway]] (2.33%)}}",,,,,,,,,,,,,
Cintas Corporation,Cintas logo (2).svg,,,,,,[[Public company|Public]],{{Unbulleted list|class|=|nowrap|NASDAQ|CTAS|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CTAS}},[[Tertiary sector of the economy|Service]],,"{{plainlist|
* Todd Schneider ([[Chief executive officer|CEO]])
* Scott D. Farmer ([[executive chairman]])
* Mike Thompson ([[Chief administrative officer|CAO]])|ref|{{cite web|url=https://theorg.com/org/cintas/team/mike-thompson|title=Michael L. Thompson|publisher=The Org}}|</ref>|}}",,,{{increase}} {{US$|10.3&nbsp;billion|link|=|yes}} (2025),,{{increase}} {{US$|2.36&nbsp;billion}} (2025),,{{increase}} {{US$|1.81&nbsp;billion}} (2025),,{{increase}} {{US$|9.83&nbsp;billion}} (2025),,{{increase}} {{US$|4.68&nbsp;billion}} (2025),,,{{Start date and age|1929}} (as Acme Industrial Laundry Company),,"[[Mason, Ohio]]",U.S.,"48,300",{{URL|https://cintas.com}},Financials {{as of|2025|5|31|lc|=|y|df|=|US}} .,Cintas,,,,Richard (Doc) Farmer,,,,,,[[Scott D. Farmer]] (13.9%),,,2025,,,,,,,,,,,,,,,,,,,,,,,,
"Cisco Systems, Inc.",Cisco logo blue 2016.svg,File:3098_Olsen_Drive.jpg,1.1,"Cisco's headquarters in [[Santana Row]], [[San Jose, California]]",,,[[Public company|Public]],"{{Plainlist|
* |NASDAQ|CSCO|
* [[Nasdaq-100]] component
* [[DJIA]] component
* [[S&P 100]] component
* [[S&P 500]] component}} {{NASDAQ|CSCO}} * [[Nasdaq-100]] component
* [[DJIA]] component
* [[S&P 100]] component
* [[S&P 500]] component",{{ubl|[[Networking hardware]]|[[Networking software]]}},Worldwide,"{{Plainlist|
* [[Chuck Robbins]]|ref|{{cite web |last=Hackett |first=Robert |date=May 5, 2015 |title=Why Cisco's board chose Chuck Robbins to lead as CEO
 |url=https://fortune.com/2015/05/05/cisco-ceo-chuck-robbins/ |website=Fortune |access-date=May 29, 2025}}|</ref>|<br />([[Chief executive officer|CEO]] & [[chairman]])}} <br />([[Chief executive officer|CEO]] & [[chairman]])",[[List of Cisco products]],,"{{Unbulleted list|class|=|nowrap|increase| |USD|56.65&nbsp;[[1,000,000,000|billion]]|link|=|yes| (2025)}} {{increase}} {{USD|56.65&nbsp;[[1,000,000,000|billion]]|link|=|yes}} (2025)",,{{Unbulleted list|class|=|nowrap|decrease| |USD|11.76&nbsp;billion| (2025)}} {{decrease}} {{USD|11.76&nbsp;billion}} (2025),,{{Unbulleted list|class|=|nowrap|decrease| |USD|10.18&nbsp;billion| (2025)}} {{decrease}} {{USD|10.18&nbsp;billion}} (2025),,{{Unbulleted list|class|=|nowrap|decrease| |USD|122.3&nbsp;billion| (2025)}} {{decrease}} {{USD|122.3&nbsp;billion}} (2025),,{{Unbulleted list|class|=|nowrap|increase| |USD|46.84&nbsp;billion| (2025)}} {{increase}} {{USD|46.84&nbsp;billion}} (2025),,{{Unbulleted list|[[Leonard Bosack]]|[[Sandy Lerner]]}},"{{Start date and age|1984|12|10}} in [[San Francisco]], California, U.S.",,"[[San Jose, California]]",U.S.,"86,200 (2025)",{{URL|cisco.com}},Financials {{as of|2025|7|26|lc|=|y|df|=|US}} .,Cisco,,,,,,,,,,,,,,,{{ISIN|sl|=|n|pl|=|y|US17275R1023}},,,,,,,,,,,,,,,,,,,,,,
Coca-Cola Europacific Partners plc,Coca-Cola Europacific Partners (LOGO).png,,,,,,[[Public limited company|Public]],"{{plainlist|
* |LSE|CCEP|
* [[FTSE 100]] component
* |NASDAQ|CCEP|
* [[Nasdaq-100]] component}} {{LSE|CCEP}} * [[FTSE 100]] component
* {{NASDAQ|CCEP}} * [[Nasdaq-100]] component",[[Drink industry|Beverages]],{{Unbulleted list|Europe|Australia|Asia-Pacific|Indonesia|Philippines}},[[Sol Daurella]] ([[chairman]])<br>Damian Gammell ([[Chief executive officer|CEO]]),"Regular, low- and no-calorie beverages including energy drinks, still and sparkling waters, juices and juice drinks, sports drinks, and ready-to-drink teas",,{{increase}} €20.438 billion (2024),,{{decrease}} €2.132 billion (2024),,{{decrease}} €1.444 billion (2024),,{{increase}} €31.1 billion (2024),,{{increase}} €8.489 billion (2024),,,{{unbulleted list|start date and age|2016|5|28|df|=|yes| (as Coca-Cola European Partners)|start date and age|2021|5|10|df|=|yes| (as Coca-Cola Europacific Partners)}} {{start date and age|2016|5|28|df|=|yes}} (as Coca-Cola European Partners) {{start date and age|2021|5|10|df|=|yes}} (as Coca-Cola Europacific Partners),"[[Uxbridge]], England",,,"41,000 (2024)",{{URL|www.cocacolaep.com}},,Coca-Cola Europacific Partners,,,,,"54 brands (incl. [[Coca-Cola]], [[Diet Coke]], [[Coca-Cola Zero]], [[Fanta]], [[Sprite (soft drink)|Sprite]]) and [[List of Coca-Cola brands|List of The Coca-Cola Company products]]",,,,,,,,,,{{ISIN|GB00BDCPN049|sl|=|no}},,,42 bottling plants,,,,,{{unbulleted list|Coca-Cola European Partners|[[Coca-Cola Enterprises]]|[[Coca-Cola Amatil]]}},{{Unbulleted list|Olive Partners (36%)|ref| name=ar24 |[[The Coca-Cola Company]] (17%)|ref| name=ar24}},,,,,,,,,,,,,
Cognizant Technology Solutions Corporation,Cognizant_logo_2022.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|CTSH| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CTSH}} (Class A),{{UBL|[[Information technology]]|[[Consulting]]|[[Outsourcing]]}},Worldwide,[[Ravi Kumar Singisetti]] ([[Chief executive officer|CEO]]),,,{{increase}} {{US$|19.736 billion|link|=|yes}} (2024),,{{increase}} {{US$|2.938 billion}} (2024),,{{increase}} {{US$|2.240 billion}} (2024),,{{nowrap|increase| |US$|19.966 billion| (2024)|ref| name=FY}} {{increase}} {{US$|19.966 billion}} (2024),,{{increase}} {{US$|14.408 billion}} (2024),,[[Kumar Mahadeva]],"{{Start date and age|df|=|yes|1994|01|26}} in [[Chennai]], [[Tamil Nadu]], India","[[Teaneck, New Jersey]], U.S.",,,"336,800 (2024)",{{URL|https://www.cognizant.com}},,Cognizant,,,,,,,,,,,,[[Dun & Bradstreet]],,,{{ISIN|sl|=|n|pl|=|y|US1924461023}},,,,,,,,,,,,,,,,,,,,,,
Comcast Corporation,[[File:Comcast.svg|frameless]],Comcast Philly.JPG,,"[[Comcast Center]], the company's headquarters in [[Philadelphia]]",,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|CMCSA| (Class A)|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|CMCSA}} (Class A),{{ubl|[[Telecommunications industry|Telecommunications]]|[[Media conglomerate|Media]]|[[Outline of entertainment|Entertainment]]}},Worldwide,"{{plainlist|
* [[Brian L. Roberts]] ([[Chairman#Public corporations|chairman]] & [[Chief executive officer|CEO]])
* [[Michael J. Cavanagh]] ([[President (corporate title)|president]])
* Jason S. Armstrong ([[Chief financial officer|CFO]])}}",{{ubl|[[Cable television]]|[[Broadband]]|[[Internet service provider|Internet service]]|[[Broadcasting]]}},,{{increase}} {{US$|123.7 billion|link|=|yes}},2024,{{decrease}} {{US$|23.29 billion}},2024,{{increase}} {{US$|15.88 billion}},2024,{{increase}} {{US$|266.2 billion}},2024,{{increase}} {{US$|85.56 billion}},2024,,"{{Start date and age|1963|6|28}} in [[Tupelo, Mississippi]], U.S.",[[Comcast Center]],"[[Philadelphia, Pennsylvania]]",United States,"182,000",{{URL|https://corporate.comcast.com}},,Comcast,,,,[[Ralph J. Roberts]],,,,,"{{plainlist|
* [[NBCUniversal]] 
* [[Sky Group]]
* [[Comcast Business]]
* [[Midco]] (49%)}}","Brian L. Roberts (1% [[equity interest]], 33% [[Voting interest|voting power]])",,,2024,"{{plainlist|
* American Cable Systems<br />(1963–1968)
* Comcast Holdings<br />(1968–2000)}}",,,"Logo used as of January 11, 2024",,,{{infobox network service provider|child|=|yes|asn|=|7922}},,,[[AT&T Broadband]],,,,"{{plainlist|
* [[Xfinity]]
* [[Comcast Spectacor]]}}",,,,,,,,,,
Constellation Energy Corporation,[[Image:Constellation_Energy.png|center|250px]],,,,,,[[Public company|Public]],{{ubl|NASDAQ|CEG|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CEG}},[[Energy]],,Joseph Dominguez {{nowrap|([[President (corporate title)|president]] and [[CEO]])}},{{unbulleted list|[[Electric power]]|[[Natural gas]]}},,{{decrease}} {{US$|23.6 billion|link|=|yes}} (2024),,{{increase}} {{US$|4.35 billion}} (2024),,{{increase}} {{US$|3.75 billion}} (2024),,{{increase}} {{US$|52.9 billion}} (2024),,{{increase}} {{US$|13.2 billion}} (2024),,,{{Start date and age|1999}} (spun off from [[Exelon]] in 2022),,,,"14,264 (2024)",{{URL|constellationenergy.com}},,Constellation Energy,,,,,,,,"[[Baltimore, Maryland]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
