name,former_name,logo,logo_size,logo_caption,image,image_size,image_caption,type,traded_as,founder,location_city,location_country,area_served,key_people,industry,products,revenue,operating_income,net_income,assets,equity,num_employees,subsid,foundation,homepage,_company_name,founded,founders,services,num_employees_year,ISIN,predecessors,hq_location,hq_location_country,num_locations,website,location,image_upright,predecessor,revenue_year,income_year,net_income_year,assets_year,equity_year,owner,divisions,footnotes,aum,hq_location_city,trading_name,production,owners,brands,former_names,parent,logo_class,module,locations,logo_upright,logo_alt,image_alt,trade_name,areas_served,ratio,rating,native_name,native_name_lang
BASF SE,,BASF-Logo bw.svg,205px,,,,,[[Public company|Public]],{{ubl|FWB|BAS|isin|=|DE000BASF111|[[DAX]] component}} {{FWB|BAS|isin|=|DE000BASF111}},[[Friedrich Engelhorn]],,,,{{ubl|Jürgen Hambrecht <small>(chairman of the [[supervisory board]])</small>| Markus Kamieth (CEO)}},[[Chemical industry|Chemicals]],"Chemicals, plastics, performance chemicals, [[catalyst]]s, [[coating]]s, [[Agricultural science|crop technology]], [[crude oil]] and natural gas [[Hydrocarbon exploration|exploration]] and production",{{decrease}} {{€|68.9&nbsp;billion|link|=|yes}} (2023),{{decrease}} €2.24&nbsp;billion (2023),{{increase}} €225&nbsp;million (2023),{{decrease}} €77.4&nbsp;billion (2023),{{decrease}} €36.6&nbsp;billion (2023),"{{increase}} 111,991 (end 2023)","[[Wintershall]], Nunhems, TrinamiX, [[Cognis]], BTC Europe, Chemster, Siegfried PharmaChemikalien Minden, [[Verenium Corporation]], Isobionics, Succinity, Pinturas Thermicas del Norte","{{start date and age|1865|04|6|df|=|yes}} (as Badische Anilin- und Sodafabrik); [[Mannheim]], [[Grand Duchy of Baden|Baden]], Germany",{{URL|basf.com}},BASF,,,,,{{ISIN|sl|=|n|pl|=|y|DE000BASF111}},,,,,,"[[Ludwigshafen]], Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayer AG,,Logo Bayer.svg,160px,,Leverkusen Kaiser-Wilhelm-Allee 0004.jpg,,Headquarters in Leverkusen,[[Public company|Public]],{{ubl|class|=|nowrap|FWB|BAYN|[[DAX]] component|[[Euro Stoxx 50]] component}} {{FWB|BAYN}},[[Friedrich Bayer]],,,Worldwide,"{{Plainlist|
* [[Bill Anderson (businessman)|Bill Anderson]] (CEO)
* Norbert Winkeljohann (chairman of the [[supervisory board]])}}","{{plainlist|
* [[Pharmaceutical industry|Pharmaceuticals]]
* [[Chemical industry|Chemicals]]
* [[Biotechnology]]
* [[Healthcare industry|Healthcare]]}}",{{hlist|Prescription pharmaceuticals|[[Medical imaging|diagnostic imaging]]|therapeutics|[[over-the-counter drug]]s|[[pesticides]]|[[seeds]]|[[Plant breeding|plant biotechnology]]}},{{decrease}} {{€|46.6&nbsp;billion|link|=|yes}} (2024),{{decrease}} €&minus;71&nbsp;million (2024),{{increasenegative}} €&minus;2.6&nbsp;billion (2024),{{increase}} €102&nbsp;billion (2024),{{increase}} €43.3&nbsp;billion (2024),"92,815 (2024)",,{{start date and age|1863|08|01|df|=|y|br|=|y}},{{url|https://www.bayer.com/|bayer.com}},Bayer,,,,,,,,,,,"[[Leverkusen]], [[North Rhine-Westphalia]], Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banco Bilbao Vizcaya Argentaria, S.A.",,BBVA_logo_2025.svg,,,Bilbao - BBVA (ex Banco de Comercio) 2.jpg,,BBVA head-office building in [[Bilbao]],[[S.A. (corporation)|Sociedad Anónima]],{{BMAD|ES0113211835|BBVA}} <br /> {{NYSE|BBVA}} <br /> {{BMV|BBVA|6528}} <br />[[IBEX 35]],,Bilbao and [[Madrid]],[[Spain]],,[[Carlos Torres Vila (banker)|Carlos Torres Vila]]<br /> {{small|(Group Executive Chairman)}} <br />[[Onur Genç]]<br /> {{small|(CEO)}},[[Financial services]],{{hlist| [[Retail banking]] | [[Commercial bank|corporate banking]]| [[investment banking]]| [[insurance]]| [[private banking]]| [[private equity]]| [[mortgage loans]]| [[credit cards]]| [[investment management]]| [[wealth management]] | [[asset management]] | [[mutual funds]]| [[exchange-traded fund]]s| [[index fund]]s}},{{Increase}} €35.48 billion <small>(2024) </small>,{{Increase}} €17.23 billion <small>(2024) </small>,{{Increase}} €10.05 billion <small>(2024) </small>,{{Decrease}} €772.40 billion <small>(2024) </small>,{{Increase}} €60.01 billion <small>(2024) </small>,"{{Increase}} 125,916 <small>(2024) </small>",,"[[Bilbao]], Spain<br /> {{Start date and age|1857|5|28|df|=|y}}",{{URL|http://www.bbva.com}},BBVA,,,,,{{ISIN|sl|=|n|pl|=|y|ES0113211835}},,,,,,,,"{{unbulleted list|Banco Bilbao Vizcaya, S.A.|Argentaria, S.A.}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banco Santander S.A.,,Banco Santander Logotipo.svg,275px,,Sedesocialsantander.jpg,250px,"The façade of Banco Santander headquarters in [[Santander, Spain|Santander]], Spain",[[Public company|Public]],{{unbulleted list|BMAD|ES0113900J37|SAN|[[IBEX 35]] component|WSE|SAN|LSE|BNC}} {{BMAD|ES0113900J37|SAN}} {{WSE|SAN}} {{LSE|BNC}},,"{{unbulleted list |[[Santander, Spain|Santander]], Spain (legal) | [[Boadilla del Monte]], Spain (operational)}}",,Worldwide,{{ubl|[[Ana Botín|Ana Patricia Botín]] (Group Executive chairman)|[[José Antonio Álvarez]] (Vice chairman)|Héctor Grisi Checa (CEO)}},[[Financial services]],{{hlist| [[Retail banking]] | [[Commercial bank|corporate banking]]| [[investment banking]]| [[insurance]]| [[private banking]]| [[private equity]]| [[mortgage loans]]| [[credit cards]]| [[investment management]]| [[wealth management]] | [[asset management]] | [[mutual funds]]| [[exchange-traded fund]]s| [[index fund]]s}},{{increase}} €61.88&nbsp;billion (2024),{{increase}} €19.03&nbsp;billion (2024),{{increase}} €12.57&nbsp;billion (2024),{{increase}} €1.840&nbsp;trillion (Q3 2025),{{increase}} €107.3&nbsp;billion (2024),"{{decrease}} 206,753 (2024)",,{{start date and age|1857|5|15|df|=|y}},{{URL|santander.com}},Banco Santander,,,,,{{ISIN|sl|=|n|pl|=|y|ES0113900J37}},,,,,,,,,,,,,,,,,{{increase}} €498.3&nbsp;billion (2024),,Santander Group,,,,,,,,,,,,,,,,,
Bayerische Motoren Werke Aktiengesellschaft,,BMW logo (white + grey background square).svg,,Official logo since 2020,"4 cilindros de BMW, Múnich, Alemania1.jpg",,"[[BMW Headquarters]] in Munich, Germany",[[Public company|Public]],{{unbulleted list| |FWB|BMW| |[[DAX]] component}} {{FWB|BMW}},,[[Munich]],Germany,Worldwide,"{{Plainlist|
* [[Oliver Zipse]] (chairman of management board)
* |ill|Nicolas Peter|de| (chairman of supervisory board)}} {{ill|Nicolas Peter|de}} (chairman of supervisory board)",[[Automotive industry|Automotive]],{{Hlist|[[Car]]s|[[motorcycle]]s|[[bicycle]]s}},{{Increase}} {{Euro|155.50|link|=|yes}} [[Billion (short scale)|billion]] (2023),{{Decrease}} {{Euro|17.096}} billion (2023),{{Decrease}} {{Euro|12.165}} billion (2023),{{Increase}} {{Euro|250.89}} billion (2023),{{Increase}} {{Euro|92.923}} billion (2023),"154,950 (2023)",,{{Start date and age|1916|3|7}} <br>(official date) {{Paragraph break}} {{Start date and age|1922|df|=|y}} <br>(''de facto'' date),{{ubl|URL|bmwgroup.com| (corporate)|URL|bmw.com| (brand)}} {{URL|bmwgroup.com}} (corporate) {{URL|bmw.com}} (brand),BMW,,[[Camillo Castiglioni]]<br>[[Franz Josef Popp]],"Car-sharing services, financing, leasing, insurance and other financial services",,,"{{Plainlist|
* [[Otto Flugmaschinenfabrik]]
* [[Rapp Motorenwerke]]
* [[Automobilwerk Eisenach|Fahrzeugfabrik Eisenach]]}}",,,,,,,,,,,,,,,,,,,"{{Ubl|class|=|nowrap|Increase| 2,661,922 cars (2023)|Increase| 221,988 motorcycles (2023)|ref| name=""AR2023""}} {{Increase}} 2,661,922 cars (2023) {{Increase}} 221,988 motorcycles (2023)",{{Ubl|[[Stefan Quandt]] (25.8%)|[[Susanne Klatten]] (20.9%)|[[Public]] (53.4%)|ref|{{Cite web|url=https://www.bmwgroup.com/en/investor-relations/bmw-shares.html|title=BMW shares. Mikaeel Collier (100%) Shareholder structure|website=www.bmwgroup.com|access-date=11 July 2023}}|</ref>}},"{{Unbulleted list|'''Automobiles'''|[[#Automobiles|BMW]] ([[BMW i|i]], [[BMW M|M]], [[BMW X|X]], [[BMW Z|Z]], [[Alpina]])|[[Mini (marque)|Mini]]|[[Rolls-Royce Motor Cars|Rolls-Royce]]|'''Motorcycles'''|[[BMW Motorrad]]}}",,,,,,,,,,,,,,
,,BNP Paribas.svg,50px,,Italiens12.jpg,,The [[headquarters]] of BNP Paribas in [[Paris]],[[Public company|Public]],{{Ubl|EuronextParis|BNP|FR0000131104|XPAR|LSE|0HB5|[[CAC 40]] component (BNP)}} {{EuronextParis|BNP|FR0000131104|XPAR}} {{LSE|0HB5}},,,,Worldwide,{{Ubl|[[Jean Lemierre]] ([[Chairperson|Chairman]])|[[Jean-Laurent Bonnafé]] ([[CEO]])}},[[Financial services]],"{{Ubl
| [[Asset management]]
| [[Banking]]
| [[Commodities]]
| [[Credit card]]s
| [[Equities trading]]
| [[Insurance]]
| [[Investment banking]]
| [[Investment management]]
| [[Mortgage loan]]s
| [[Mutual funds]]
| [[Private equity]]
| [[Security (finance)|Securities services]]
| [[Risk management]]
| [[Wealth management]]}}",{{increase}} [[Euro|€]]48.83&nbsp;billion (2024),{{increase}} €15.43&nbsp;billion (2024),€3.044 billion (Q3 2025),{{increase}} €2.824&nbsp;trillion (Q3 2025),{{increase}} €134.14&nbsp;billion (2024),"178,000 (2024)",{{Collapsible list|title|=|List|Arval<br>[[Banca Nazionale del Lavoro]]<br>[[Cetelem]]<br>[[Hello bank!]]<br>[[BMCI]]}},"* {{start date and age|df|=|yes|1822|12|13}} Creation of [[Société Générale de Belgique]], predecessor of [[Fortis Bank]]
* {{start date and age|df|=|yes|1848|03|10}} creation of [[Comptoir national d'escompte de Paris]], predecessor of BNP
* {{start date and age|df|=|yes|1872|01|27}} creation of [[Paribas|Banque de Paris et des Pays-Bas]], later called Paribas
* {{start date and age|df|=|yes|2000|05|23}} merging as BNP Paribas",{{URL|group.bnpparibas/en/}},BNP Paribas,,,,,,,,,,,"[[Boulevard des Italiens|20 Boulevard des Italiens]]<br />[[Paris]], France",,,,,,,,,{{Collapsible list|title|=|List|[[BNP Paribas Asset Management]]<br>[[Cardif|BNP Paribas Cardif]]<br>BNP Paribas Factor<br>[[BNP Paribas Fortis]]<br>BNP Paribas Real Estate}},,,,,,,,,,,,,,,,,,,,,
Danone S.A.,,,,,"Bd Haussmann, 17.jpg",250px,"Danone head office in Paris, July 2010",[[Public company]],{{EuronextParis|BN|FR0000120644}} <br />[[CAC 40]] component,[[Isaac Carasso]],,,Worldwide,[[Franck Riboud]] (honorary chairman)<br />[[Gilles Schnepp]] (chairman) <br /> [[Antoine Bernard de Saint-Affrique]] (CEO),[[Food processing]],"{{hlist|[[Baby food]]|[[coffee]]|[[dairy products]]|[[dairy-free|dairy-free products]]|[[bottled water]]|[[dietary supplement]]s|[[protein supplement]]s|ref| name=""18PDF""}}",{{Increase}} [[Euro|€]]27.619&nbsp;billion (2023),{{Increase}} €3.481&nbsp;billion (2023),{{Decrease}} €881&nbsp;million (2023),{{Decrease}} €44.486&nbsp;billion (2023),{{Decrease}} €16.176&nbsp;billion (2023),"96,000+ (2023)",[[WhiteWave Foods|Danone North America]],'''Company:''' {{start date and age|1966}} (as Boussois-Souchon-Neuvesel)<br>'''Brand:''' {{start date and age|1919}},{{url|https://www.danone.com/|danone.com}},Danone,,,,,,,,,,,"[[Boulevard Haussmann]] <br />[[9th arrondissement of Paris|9th arrondissement]], [[Paris]], France (Operational)<br />[[Hoofddorp]], [[Netherlands]] (Global)",,Gervais Danone,,,,,,,,,,,,,"{{plainlist|
* [[MFS Investment Management]] (8.3%)|ref| name=""simplywall.st""|{{cite web|url=https://simplywall.st/stocks/fr/food-beverage-tobacco/epa-bn/danone-shares/news/what-kind-of-shareholder-owns-most-danone-s-a-epabn-stock|title = What Kind of Shareholder Owns Most Danone S.A. (EPA:BN) Stock?| date=28 January 2020 }}|</ref>|}}",''[[Danone#Main brands|Main brands]]'',Boussois-Souchon-Neuvesel (1966-1967)<br>BSN (1967-1973)<br>BSN-Gervais Danone (1973-1983)<br>BSN Groupe (1983-1994),,,,,,,,,,,,,
Deutsche Bank AG,,[[File:Deutsche Bank logo.svg|frameless|220px|upright=0.6|class=skin-invert]],,,Deutsche Bank Taunusanlage.jpg,,"[[Deutsche Bank Twin Towers]] in [[Frankfurt]], Germany",[[Public company|Public]],"{{plainlist|
*|FWB|DBK|
*|NYSE|DB|
*[[DAX]] component}} {{FWB|DBK}} * {{NYSE|DB}} *[[DAX]] component",,,,,"{{ubl|
*[[Christian Sewing]] ([[Chief executive officer|CEO]])|ref|{{Cite news |last=Ewing |first=Jack |date=8 April 2018 |title=Deutsche Bank Replaces C.E.O. Amid Losses and Lack of Direction |work=[[The New York Times]] |url=https://www.nytimes.com/2018/04/08/business/deutsche-bank-ceo.html?partner=rss&emc=rss |access-date=8 April 2018}}|</ref>|
*[[Alexander Wynaendts]] (chairman of supervisory board)|ref| name=""Annual Report 2023""|{{Cite web|url=https://investor-relations.db.com/files/documents/annual-reports/2024/Annual-Report-2023.pdf|title=Annual Report 2023 |publisher=Deutsche Bank |access-date=16 March 2024}}|</ref>}} *[[Alexander Wynaendts]] (chairman of supervisory board)",[[Financial services]],{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},{{increase}} €31.5&nbsp;billion (2024),{{decrease}} €6.70&nbsp;billion (2024),{{decrease}} €4.48&nbsp;billion (2024),{{increase}} €1.391&nbsp;trillion (Q3 2025),{{increase}} €68.7&nbsp;billion (2024),"89,753 (2024)",,{{start date and age|1870|03|10|df|=|y|br|=|y}},{{URL|db.com}},Deutsche Bank,,"{{Plainlist|
*[[Ludwig Bamberger]]
*[[Adelbert Delbrück]]}}",,,{{ISIN|sl|=|n|pl|=|y|DE0005140008}},,[[Deutsche Bank Twin Towers]],Germany,,,,,,,,,,,,,,{{increase}} €1.01&nbsp;trillion (2024),[[Frankfurt]],,,,,,,,,,,,,,,,,,
Deutsche Börse AG,,Deutsche Börse.svg,200px,,Deutsche-boerse-parkett-ffm001.jpg,260px,{{Lang|de|Deutsche Börse|italic|=|no}} trading floor in [[Frankfurt]],[[Public company|Public]] ( {{Lang|de|[[Aktiengesellschaft]]}} ),{{ubl|FWB|DB1|[[DAX]] component}} {{FWB|DB1}},,,,,{{ubl|[[Stephan Leithner]] ([[chief executive officer|CEO]])|[[Joachim Faber]] ([[chairman]] of the [[supervisory board]])}},[[Finance]],,{{increase}} {{€|5.829 billion|link|=|yes}} (2024),{{increase}} €2.9 billion (2024),{{increase}} €1.949 billion (2024),{{decrease}} €222.112 billion (2024),{{increase}} €11.259 billion (2024),"15,835 ([[full-time equivalent|FTE]], mid 2025)","[[360T]], [[Frankfurt Stock Exchange]], [[Clearstream]], [[Xetra (trading system)|Xetra]], [[Eurex]], [[STOXX]], [[Qontigo]]",{{Start date and age|1992}},,Deutsche Börse,,,"[[Equity trading]] platforms, [[Derivative (finance)|derivatives]] [[Financial market|markets]], [[Clearing (finance)|clearing]], [[market data]]",,,,,,,{{URL|https://deutsche-boerse.com/dbg-en/|deutsche-boerse.com}},"[[Frankfurt am Main]], [[Germany]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post & Parcel Germany division,,Logo Deutsche Post 2019.svg,220px,"Logo used since 2019. Before 2019, the {{lang|de|italic|=|no|""Deutsche Post""}} wordmark used the [[Frutiger (typeface)|Frutiger typeface]].",,,,[[Division (business)|Division]],,,,,,,,,,,,,,"{{Circa}} 187,000 (2024)",,{{start date and age|1995}},{{URL|https://www.deutschepost.de/en/home.html|deutschepost.de}},Deutsche Post,,,"domestic [[mail]], [[post office]]s",,,,,,"13,000 [[post office]]s (2024)",,"[[Bonn]], Germany",,{{lang|de|italic|=|no|[[Deutsche Bundespost]]}},,,,,,,,,,,,,,"{{lang|de|italic|=|no|Deutsche Post}} , [[DHL]]",,[[DHL Group]],,,,,,,,,,,,
Deutsche Telekom AG,,Deutsche Telekom 2022.svg,80px,Official logo since 2022,Deutsche Telekom Zentrale Bonn.jpg,250px,Headquarters in Bonn,[[Public company|Public]],{{FWB|DTE}} <br />[[DAX|DAX Component]],,,,Worldwide; mainly Germany and the US,{{ubli|[[Timotheus Höttges]]<br />([[Chief executive officer|CEO]])|[[Frank Appel]]<br />([[chairman]] of the [[supervisory board]])}},[[Telecommunications industry|Telecommunications]],{{ubl|[[Landline|Fixed-line]]|[[Mobile telephony]]|[[Broadband]]|[[Digital television]]|[[Digital media]]|[[Information technology|IT]] services}},{{Decrease}} [[Euro|€]]112.0 billion (2023),{{Increase}} €33.8 billion (2023),{{increase}} €9.0 billion (2023),{{Decrease}} €290.3 billion (2023),{{Increase}} €91.2 billion (2023),"205,000 (2023)","{{collapsible list
 | [[T-Systems|T-Systems International GmbH]]
 | [[Telekom Deutschland|Telekom Deutschland GmbH]]
 | [[T-Mobile US]] (51.4%)
 | [[Magenta Telekom]]
 | [[T-Mobile Polska]]
 | [[T-Mobile Czech Republic]]
 | [[Slovak Telekom]]
 | [[Magyar Telekom]] (59%)
 | [[Hrvatski Telekom]] (53.5%)
 | [[OTE]] (53.45%)
 | [[Makedonski Telekom]]
 | [[Crnogorski Telekom]]}}",{{Start date and age|1995|1|1|df|=|yes}},{{Official URL}},Deutsche Telekom,,,,,,,,Germany,,,,,{{Lang|de|[[Deutsche Bundespost]]|italic|=|no}},,,,,,[[Germany|Federal Republic of Germany]] (31.9%)<br>[[Public float]] (68.1%),,,,[[Bonn]],,,,,,,skin-invert,"{{Infobox NSP
| child |=| yes
| asn |=| 3320
| trafficlevels|=| 50+ terabits |ref|{{cite web |title=AS3320 - Deutsche Telekom - PeeringDB |url=https://www.peeringdb.com/asn/3320 |website=PeeringDB |access-date=29 September 2025}}|</ref>|}}",,,,,,,,,,
Enel S.p.A.,,Enel Group logo.svg,200px,,Roma - HQ Enel esterno.jpg,,Company seat in Rome,[[Società per azioni]],{{ISE|IT0003128367|ENEL}} <br/>[[FTSE MIB|FTSE MIB Component]],[[Italian government]],[[Rome]],[[Italy]],Worldwide,[[Paolo Scaroni]] ([[Chairman]]) <br />[[Flavio Cattaneo]] ([[chief executive officer|CEO]]),[[Electric utility]],[[Electricity generation]] and [[Electricity distribution|distribution]]; [[natural gas]] distribution,{{loss}} {{Euro|78.947&nbsp;billion|link|=|yes}} (2024),{{increase}} {{Euro|15.494&nbsp;billion}} (2024),{{increase}} {{Euro|7.016&nbsp;billion}} (2024),{{loss}} {{euro|187.139&nbsp;billion}} (2024),{{increase}} {{euro|49.171&nbsp;billion}} (2024),"60,359 (2024)",,{{start date and age|df|=|yes|1962|11|27}},[http://www.enel.com www.enel.com],Enel,,,,,,,,,,,,,,,,,,,[[Ministero dell’Economia e delle Finanze]] (23.6%),,,,,,,,,,,,,,,,,,,,,,
Eni S.p.A.,,Eni_logo_2025.png,150px,,Torre Eni.jpg,200px,"[[Palazzo Eni]], the Rome office",[[Public company|Public]],{{unbulleted list|ISE|IT0003132476|ENI|nyse|E|[[FTSE MIB]] component (ENI)}} {{ISE|IT0003132476|ENI}} {{nyse|E}},"{{Unbulleted list
|[[Government of Italy]]|ref|By virtue of [https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1953-02-10;136!vig= law of 10 February 1953 no. 136]|</ref>|
|small|[[Enrico Mattei]], first CEO|}} {{small|[[Enrico Mattei]], first CEO}}",[[Milan]],Italy,Worldwide,{{unbulleted list|[[Giuseppe Zafarana]] ([[chairman]]) |[[Claudio Descalzi]] ([[Chief executive officer|CEO]])}},[[Oil and gas industry|Oil and gas]],"[[Petroleum]], [[natural gas]], [[petroleum products]]",{{decrease}} €88.80 billion (2024),{{decrease}} €5.238 billion (2024),{{decrease}} €2.62 billion (2024),{{increase}} €146.9 billion (2024),{{increase}} €55.6 billion (2024),"32,492 (2024)",{{ubl|Enilive|[[Eni Plenitude]]|[[Versalis]]|Eni Rewind|EniPower|EniProgetti|Saipem\[[Agenzia Giornalistica Italia]]}},{{Start date and age|df|=|yes|1953|02|10}},{{URL|https://www.eni.com/en-IT/home.html}},Eni,,,,,{{ISIN|sl|=|n|pl|=|y|IT0003132476}},,,,,,,,,,,,,,"{{Unbulleted list
|[[Ministry of Economy and Finance (Italy)|Ministry of Economy and Finance]] (1.997%)
|[[Cassa Depositi e Prestiti]] (28.503%)}}",,,,,,,,,,,,,,,,,,,,,,
EssilorLuxottica S.A.,,[[File:Logo EssilorLuxottica.svg|frameless|class=skin-invert]],,,,,,[[Public company|Public]],{{Unbulleted list|EuronextParis|EL|FR0000121667|XPAR|[[CAC 40]] component|[[Euro Stoxx 50]] component|Borsa Italiana Euronext Milan}} {{EuronextParis|EL|FR0000121667|XPAR}},,,,,[[Francesco Milleri]] ([[chairman and CEO]]),{{Unbulleted list|[[Eyewear]]| [[Eye care]]}},"[[Corrective lens|Ophthalmic lenses]], optical equipment, [[Eyeglass prescription|prescription glasses]] and [[sunglasses]]",{{increase}} {{€|25.39 billion|link|=|yes}} (2023),{{increase}} €3.176 billion (2023),{{increase}} €2.426 billion (2023),{{decrease}} €60.52 billion (2023),{{increase}} €38.89 billion (2023),"191,706 (2023)",{{Unbulleted list|[[Essilor]] |[[Luxottica]]}},,,EssilorLuxottica,{{Start date and age|2018|10|1|df|=|y}},,,,{{ISIN|sl|=|n|pl|=|y|FR0000121667}},{{Unbulleted list|[[Essilor]]|[[Luxottica]]}},,,,{{URL|essilorluxottica.com}},,,,,,,,,[[Delfin (Holding)|Delfin S.à.r.l]] (32%),,,,"[[Paris]], France and [[Milan]], Italy",,,,"{{Hlist| [[Crizal]]| [[LensCrafters]]| [[Oakley, Inc.|Oakley]]| [[Oliver Peoples]]| [[Persol]]| [[Ray-Ban]]| [[Sunglass Hut]]| [[Supreme (brand)|Supreme]]| [[Transitions Optical]]| [[Varilux]]| [[Alook Eyewear]]}}",,,,,"17,589 stores (2023)",,,,,,,,,
Ferrari S.p.A.,,[[File:Prancing horse.svg|frameless|upright=0.35|class=skin-invert]],,,フェラーリ本社前 (36309429124).jpg,,"Headquarters in [[Maranello]], Italy",[[Public company|Public]] ([[S.p.A.]]),{{ubl|Borsa Italiana|NL0011585146|RACE|NYSE|RACE|[[FTSE MIB]] component|[[Euro Stoxx 50]] component}} {{Borsa Italiana|NL0011585146|RACE}} {{NYSE|RACE}},[[Enzo Ferrari]],,,Worldwide,"{{plainlist|
* [[John Elkann]]<br>(Executive Chairman)
* [[Piero Ferrari]]<br>(Vice Chairman)
* [[Benedetto Vigna]]<br>(CEO)}}",[[Automotive industry|Automotive]],"[[Sports car]]s, [[luxury car]]s",{{profit}} [[Euro|€]]6.677 billion (2024),{{profit}} €1.888 billion (2024),{{profit}} €1.526 billion (2024),{{profit}} €9.497 billion (2024),{{profit}} €3.543 billion (2024),"{{increase}} 5,435 (2024)",,"{{start date and age|df|=|yes|1939|09|13}} in [[Modena]], Italy (as Auto Avio Costruzioni)",{{URL|https://www.ferrari.com/|ferrari.com}},Ferrari,,,,,,,,,,,"{{ubl|[[Maranello]], [[Emilia-Romagna]], [[Italy]]<br>[[Modena]], Emilia-Romagna, Italy ([[Seat (legal entity)|seat]])}} <br/> {{Coord|44|31|57|N|10|51|52|E|display|=|title,inline}}",1.15,,,,,,,,[[Scuderia Ferrari]],,,,,"{{increase}} 13,752 units shipped (2024)","{{plainlist|
* [[Exor (company)|Exor]] (24.65% equity; 36.48% voting rights)
* [[Piero Ferrari]] (10.48% equity; 15.51% voting rights)
* [[Public float|Public]] (58.8% equity; 48.01% voting rights)}}",,,,,,,,,,,,,,,
Hermès International S.A.,,Hermès.svg,,,"Rue du Faubourg-Saint-Honoré, Paris May 2006.jpg",,"Hermès flagship, 24 Rue du Faubourg-Saint-Honoré, Paris",[[Public company|Public]] ([[S.A. (corporation)|''Société Anonyme'']]),{{EuronextParis|RMS|FR0000052292|XPAR}} <br>[[CAC 40]] component,[[Thierry Hermès]],,,,"[[Axel Dumas]] <small>(Executive Chairman)</small>, Henri-Louis Bauer <small>(Executive Manager and Chairman, Emile Hermès SARL)</small>, Éric de Seynes <small>(Chairman, [[Supervisory Board]])</small>, [[Pierre-Alexis Dumas]] <small>(Artistic Executive Vice President)</small>",[[Luxury goods]],[[Clothing]] and [[Fashion accessory|accessories]],{{increase}} [[Euro|€]]15.17 billion (2024),{{increase}} €6.15 billion (2024),{{increase}} €4.60 billion (2024),{{increase}} €23.08 billion (2024),{{increase}} €17.33 billion (2024),"25,185 (2024)",,{{start date and age|1837}} in [[Paris]],{{URL|https://www.hermes.com/|hermes.com}},Hermès,,,,,,,"24 [[Rue du Faubourg Saint-Honoré]] – 75008 Paris, France<br /><small> {{coord|48|52|08|N|02|19|18|E|display|=|title,inline}} </small>",,,,,,,,,,,,,,,,,,,Hermès family and others <br /> (see [[#Shareholder structure|shareholder structure]]),,,,,,,1.0,Hermès logo,"Hermès flagship location, 24 Rue du Faubourg-Saint-Honoré, Paris",,,,,,
"Iberdrola, S.A.",,Logo Iberdrola (2023).svg,,,Bilbao - Torre Iberdrola 61.jpg,,"Headquarters in [[Iberdrola Tower]], Bilbao",[[Sociedad Anónima]],{{BMAD|isin|=|ES0144580Y14|IBE}} <br>[[IBEX 35]],,,,,[[José Ignacio Sánchez Galán|Ignacio Galán]] <small>([[Chairman]])</small><br>[[Pedro Azagra Blázquez|Pedro Azagra]] <small>([[chief executive officer|CEO]])</small><br>[[Duke of Rivas|The Duke of Rivas]] <small>([[chief financial officer|CFO]])</small>,[[Electric utility]],"[[Electricity generation]] and [[Electricity distribution|distribution]], [[renewable energy]], [[natural gas]] production, sale and distribution, [[telecommunication]]s",€44.739 billion <small>(2024) </small>,{{increase}} €9.729 billion<small>(2024) </small>,{{increase}} €5.612 billion <small>(2024) </small>,{{increase}} €158 billion <small>(2024) </small>,,"{{increase}} 42,200 <small>(2024) </small>",Elektro Holding <br /> [[Avangrid]] <br /> [[ScottishPower]],{{start date and age|1992|11|01|df|=|y}},[https://www.iberdrola.com/ iberdrola.com],Iberdrola,,,,,{{ISIN|sl|=|n|pl|=|y|ES0144580Y14}},,,,,,[[Iberdrola Tower]],,,,,,,,,,,,"[[Bilbao]], [[Spain]]",,,,,,,,,,,,,,,,,,
