name,logo,logo_size,image,image_size,image_caption,former_name,type,traded_as,ISIN,industry,foundation,founders,location_city,location_country,area_served,key_people,revenue,operating_income,net_income,assets,equity,num_employees,website,_company_name,founder,products,num_employees_year,divisions,founded,hq_location_city,hq_location_country,locations,hq_location,location,logo_caption,alt,subsid,predecessor,num_locations,image_upright,trading_name,services,revenue_year,income_year,net_income_year,assets_year,equity_year,footnotes,logo_alt,image_alt,trade_name,brands,native_name_lang,predecessors,owner,module,homepage,parent,aum,former_names,logo_upright,production,num_locations_year,owners,areas_served,members,members_year,ratio,airline,caption,IATA,ICAO,callsign,aoc,hubs,focus_cities,frequent_flyer,alliance,fleet_size,destinations,commenced,subsidiaries,headquarters,genre,suppressfields,logo_class,profit,company_type,CEO,chairman,rating,defunct,fate,successor,production_year,screenshot,collapsible,collapsetext,language,language_count,country_of_origin,url,commercial,registration,num_users,launch_date,current_status,railroad_name,system_map,map_caption,marks,locale,start_year,end_year,gauge,length,hq_city,bases,notes
"Arista Networks, Inc.",Arista-networks-logo.svg,,,,,Arastra (2004–2008),[[Public company]],{{Unbulleted list|NYSE|ANET| |[[S&P 500]] component}} {{NYSE|ANET}},,[[Networking hardware]],,{{Unbulleted list|[[Andy Bechtolsheim]]|Kenneth Duda|[[David Cheriton]]}},,,,{{Unbulleted list|[[Jayshree Ullal]] (CEO and Chairperson)|[[Andy Bechtolsheim]] (Chief Architect)|Kenneth Duda (CTO)}},{{nowrap|increase| |US$|7.003 billion|link|=|yes| (2024)}} {{increase}} {{US$|7.003 billion|link|=|yes}} (2024),{{nowrap|increase| US$2.94 billion (2024)}} {{increase}} US$2.94 billion (2024),{{nowrap|increase| US$2.85 billion (2024)}} {{increase}} US$2.85 billion (2024),{{nowrap|increase| US$14.04 billion (2024)}} {{increase}} US$14.04 billion (2024),{{nowrap|increase| US$9.99 billion (2024)}} {{increase}} US$9.99 billion (2024),"4,465",{{URL|https://www.arista.com/|arista.com}},Arista Networks,,{{Unbulleted list |[[Network operating system]]s |[[Network switch]]es}},December 2024,,{{Start date and age|2004|10}},"[[Santa Clara, California]]",U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,{{Unbulleted list|[[Andy Bechtolsheim]] (15.3%)}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co. logo.svg,,,,,,[[Public company|Public]],{{Unbulleted list|class|=|nowrap|NYSE|AJG|[[S&P 500]] component}} {{NYSE|AJG}},{{ISIN|sl|=|n|pl|=|y|US3635761097}},[[Insurance broker]],"{{start date and age|1927}} in [[Itasca, Illinois]], U.S.",,,,,"{{Unbulleted list|[[J. Patrick Gallagher Jr|J. Patrick Gallagher, Jr.]] ([[Chairman]] & [[CEO]])|Thomas J. Gallagher ([[President (corporate title)|President]])|Patrick M. Gallagher ([[Chief operating officer|COO]])}}",{{Increase}} [[United States dollar|US$]]11.55 billion (2024),{{Increase}} US$1.754 billion (2024),{{Increase}} US$1.463 billion (2024),{{Increase}} US$64.26 billion (2024),{{Increase}} US$20.15 billion (2024),"56,000, of which 43% are in the U.S. and 57% are outside of the U.S",,Arthur J. Gallagher & Co.,Arthur J. Gallagher,,2024,,,"[[Rolling Meadows, Illinois]]",U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|https://ajg.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assurant, Inc.",Assurant logo.svg,,,,,"Fortis, Inc.",[[Public company|Public]],{{ubl|NYSE|AIZ|[[S&P 500]] component}} {{NYSE|AIZ}},,[[Insurance]],,,,,Worldwide,Keith W. Demmings<br />([[President (corporate title)|president]] & [[Chief executive officer|CEO]]),{{increase}} {{US$|11.9&nbsp;billion|link|=|yes}} (2024),{{increase}} {{US$|927&nbsp;million}} (2024),{{increase}} {{US$|760&nbsp;million}} (2024),{{increase}} {{US$|35.0&nbsp;billion}} (2024),{{increase}} {{US$|5.11&nbsp;billion}} (2024),"14,200 (2024)",{{URL|assurant.com}},Assurant,,{{hlist|[[Home insurance]] | [[renters' insurance]] | [[manufactured housing]] | [[flood insurance]] | [[Payment protection insurance|credit]] [[insurance]] |[[Service plan|extended service contracts]]}},,,{{Start date and age|1892}},"[[Atlanta]], Georgia",U.S.,,,,,,,,,,,[[Risk management]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT&T Inc.,[[File:AT&T logo 2016.svg|frameless|class=skin-invert]],250px,AT&THQDallas.jpg,,"[[Whitacre Tower]], AT&T's corporate headquarters in [[Dallas]]","{{Plainlist|
* Bell Telephone Company (1875–1881)
* American Bell Telephone Company (1881–1899)
* American Telephone and Telegraph Company (1889–1983)
* Southwestern Bell Corporation (1983–1995)
* SBC Communications Inc.|ref|[https://www.sec.gov/Archives/edgar/data/732717/000095012304012515/x67907e8vk.htm Form 8-K] {{Webarchive|url=https://web.archive.org/web/20190116200750/https://www.sec.gov/Archives/edgar/data/732717/000095012304012515/x67907e8vk.htm |date=January 16, 2019}}. [[Securities and Exchange Commission]]. October 25, 2004. Accessed January 16, 2019.|</ref>| (1995–2005)}} (1995–2005)",[[Public company|Public]],{{Unbulleted list|NYSE|T|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|T}},{{ISIN|sl|=|n|pl|=|y|US00206R1023}},{{Unbulleted list|[[Telecommunications]]}},,,,,United States,{{ubl|[[John Stankey]] ([[chairman]]&[[Chief Executive Officer|CEO]])}},{{decrease}} {{US$|122.3|link|=|yes}} billion,{{decrease}} {{US$|19.05}} billion,{{decrease}} {{US$|50.25}} billion,{{decrease}} {{US$|394.8}} billion,{{increase}} {{US$|118.2}} billion,"140,990",{{URL|https://www.att.com/|att.com}},AT&T,,"{{Unbulleted list
|[[Fixed telephony]]
|[[Mobile telephony]]
|[[Broadband]]
|[[Digital television]]
|[[Internet television]]
|[[IPTV]]
|[[Internet of things|IoT]]}}",2024,"{{Unbulleted list|[[AT&T Communications]]|
[[AT&T Mexico|AT&T Latin America]]}}",{{start date and age|1983|10|05}},"[[Dallas, Texas]]",United States,,[[Whitacre Tower]],,Logo used since 2016,,[[Cricket Wireless]],,,,,,2024,2024,2024,2024,2024,Financials {{as of|2024|12|31|df|=|US|pre|=|fiscal year ended|lc|=|y}} .<br />References:,,,,,,{{Unbulleted list|[[AT&T Corporation]]|[[BellSouth]]|[[Ameritech]]|[[Pacific Telesis]]|[[Southwestern Bell]]|[[Lumen Technologies]] (outside Copper and Enterprise businesses)}},,{{infobox network service provider|child|=|yes|asn|=|7018}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atmos Energy Corporation,Atmos_Energy_Logo.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|ATO|[[DJUA]] component|[[S&P 500]] component}} {{NYSE|ATO}},,Energy,,,,,,J. Kevin Akers (President and CEO)<br />Kim R Cocklin (Executive Chairman of the Board)<br /> Charles K Vaughan (Founder),"{{nowrap|decrease| |US$|2.82 billion|link|=|yes| (2020)|ref| name=""Atmos-Energy-Nov-2020-10-K""|{{cite web|url=https://www.sec.gov/ix?doc=/Archives/edgar/data/731802/000073180220000040/ato202093010-k.htm |title=Atmos Energy Corporation 10K |publisher=[[U.S. Securities and Exchange Commission]] |access-date=September 25, 2015}}|</ref>}} {{decrease}} {{US$|2.82 billion|link|=|yes}} (2020)",{{increase}} US$824.1 million (2020),{{increase}} US$601.4 million (2020),{{increase}} US$15.36 billion (2020),{{increase}} US$6.79 billion (2020),"5,019 (September 2023)",{{url|atmosenergy.com}},Atmos Energy,,[[Natural gas]],,,{{Start date and age|1906}},,,,"[[Dallas, Texas]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Autodesk, Inc.",Autodesk Logo 2021.svg {{!}} class=skin-invert-image,,,,,,[[Public company|Public]],{{ubl|NASDAQ|ADSK|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ADSK}},,[[Software]],,{{Unbulleted list|[[John Walker (programmer)|John Walker]]| Dan Drake}},,,,{{ubl|[[Crawford W. Beveridge]] ([[chairman]])|[[Andrew Anagnost]] ([[Chief executive officer|CEO]])}},{{nowrap| |Increase| |US$|6.13&nbsp;billion|link|=|yes| (2025)}} {{Increase}} {{US$|6.13&nbsp;billion|link|=|yes}} (2025),{{nowrap| |Increase| |US$|1.35&nbsp;billion| (2025)}} {{Increase}} {{US$|1.35&nbsp;billion}} (2025),{{Increase}} {{US$|1.11&nbsp;billion}} (2025),{{Increase}} {{US$|10.8&nbsp;billion}} (2025),{{Increase}} {{US$|2.62&nbsp;billion}} (2025),"15,300 (2025)",{{URL|https://www.autodesk.com/|autodesk.com}},Autodesk,,[[#Products|See § Products]],,,"{{Start date and age|1982|1|30}} , in [[Mill Valley, California]], U.S.",,,,"[[One Market Plaza]], {{nowrap|[[San Francisco, California]], U.S.}}",,,,,,,,,,,,,,,Financials {{as of|2025|01|31|lc|=|y|df|=|US}} .,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Automatic Data Processing, Inc.",Automatic Data Processing (logo).svg,,ADP Headquarters.jpg,,"Headquarters in Roseland, New Jersey","Automatic Payrolls, Inc.",[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|ADP|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ADP}},,{{ubl|[[Business service provider|Business services]]|[[Software]]}},,,,,,"{{unbulleted list
| Maria Black ([[Chief executive officer|CEO]])
| John Ayala ([[Chief operating officer|COO]])
| Gus Blanchard (CMO)}}","{{increase}} {{US$|20.6&nbsp;[[1,000,000,000|billion]]|link|=|yes}} (2025)",{{increase}} US$5.41&nbsp;billion (2025),{{increase}} US$4.08&nbsp;billion (2025),{{decrease}} US$53.4&nbsp;billion (2025),{{increase}} US$6.19&nbsp;billion (2025),"{{circa|67,000}} (2025)",{{URL|https://www.adp.com/|adp.com}},Automatic Data Processing,[[Henry Taub]],,,,"{{Start date and age|1949}} (as Automatic Payrolls, Inc.) {{break}} [[Paterson, New Jersey]], U.S.",,,,"[[Roseland, New Jersey]], U.S.",,,,,,,1.1,,"Human resource, payroll, tax and benefits administration tools",,,,,,Financials {{as of|2025|06|30|lc|=|y|df|=|US}} .,,,ADP,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AutoZone, Inc.",AutoZone_logo.svg,250px,Autozonehqmemphis.jpg,250px,"Headquarters in [[Memphis, Tennessee]]",,[[Public company|Public]],{{ubl|NYSE|AZO|[[S&P 500]] component}} {{NYSE|AZO}},,[[Retailing|Retail]],,,,,"* United States
* [[Puerto Rico]] (since 2005)
* [[U.S. Virgin Islands]] (since 2019)
* Brazil (since 2012)
* Mexico (since 1998)",{{unbulleted list|[[William C. Rhodes (businessman)|William C. Rhodes]] ([[executive chairman]]) |Philip B. Daniele ([[President (corporate title)|president]] & [[CEO]]) |Jamere Jackson ([[Chief financial officer|CFO]])}},{{increase}} {{US$|18.9&nbsp;billion|link|=|yes}} (2025),{{decrease}} US$3.61&nbsp;billion (2025),{{decrease}} US$2.50&nbsp;billion (2025),{{increase}} US$19.4&nbsp;billion (2025),{{increasenegative}} US$–3.4&nbsp;billion (2025),"{{circa|130,000}}",{{URL|autozone.com}},AutoZone,[[Pitt Hyde]],[[auto parts|Automotive parts]] and [[:Category:Automotive accessories|accessories]],2025,,"{{Start date and age|1979|7|4}} (as Auto Shack)<br />[[Forrest City, Arkansas]], U.S.",,,"7,657 (2025)","[[Memphis, Tennessee]], U.S.",,,,,,,,,,,,,,,Financials {{as of|2025|08|30|lc|=|y|df|=|US}} .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AvalonBay Communities, Inc.",Avalon-Bay-logo.jpg,,AvalonBay Communities (52367658416).jpg,,"Headquarters in Arlington, VA (2022)",,[[Public company|Public]],{{Unbulleted list|New York Stock Exchange|AVB|[[S&P 500]] component}} {{New York Stock Exchange|AVB}},,[[Real estate investment trust]],,,,,,Timothy J. Naughton ([[chairman]])<br />Benjamin Schall ([[CEO]])<br />Kevin P. O’Shea ([[CFO]]),{{decrease}} {{US$|2.301 billion|link|=|yes}} (2020),,{{increase}} US$827 million (2020),{{increase}} US$19.199 billion (2020),{{decrease}} US$10.752 billion (2020),"3,090 (2021)",{{URL|https://www.avaloncommunities.com}},AvalonBay Communities,,,,,{{Start date and age|1978}},,,,"{{nowrap|[[Arlington County, Virginia]], U.S.}}",,,,,"Avalon Properties Inc.<BR>Bay Apartment Communities, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Dennison Corporation,Avery Dennison logo red.svg,,,,"Avery Dennison headquarters in [[Mentor, Ohio]].",,[[Public company|Public]],{{ubl|nyse|AVY|[[S&P 500]] component}} {{nyse|AVY}},,[[Packaging]],,[[R. Stanton Avery]] (Avery International Corporation)<br>Andrew Dennison<br>Aaron Lufkin Dennison (Dennison Manufacturing Company),,,,Deon Stander<br />(President and CEO)<br />Mitch Butier<br />(Executive Chairman),{{increase}} {{US$|8.76&nbsp;billion|link|=|yes}} (2024),{{increase}} US$1.04&nbsp;billion (2024),{{increase}} US$705&nbsp;million (2024),{{increase}} US$8.40&nbsp;billion (2024),{{increase}} US$2.31&nbsp;billion (2024),"{{circa|35,000}}",{{official URL|averydennison.com}},Avery Dennison,,"Label materials, apparel branding labels, tags, tickets, specialty adhesive tapes, [[RFID]], medical tapes, sensors, wound dressings",2024,,"{{Start date and age|1935}} in [[Los Angeles, California]], U.S. as Kum Kleen Products","[[Mentor, Ohio]]",U.S.,,,,,,,,,,,,,,,,,,,,,,,{{ubl|Avery International Corporation|Dennison Manufacturing Company}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Axon Enterprise, Inc.",AXON Company logo.svg,,,,,"{{plainlist|
* AIR TASER, Inc. (1993–1998)
* TASER International, Inc. (1998–2017)}}",[[Public company|Public]],{{ubl|NASDAQ|AXON|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|AXON}},,,,{{unbulleted list|Patrick W. Smith|Thomas P. Smith}},,,,{{unbulleted list|Patrick W. Smith ([[Chief executive officer|CEO]])| Joshua Isner ([[President (corporate title)|president]])}},{{increase}} {{US$|2.08 billion|link|=|yes}} (2024),{{down}} {{US$|59 million}} (2024),{{increase}} {{US$|377 million}} (2024),{{increase}} {{US$|4.47 billion}} (2024),{{increase}} {{US$|2.33 billion}} (2024),"4,100",{{url|axon.com}},Axon Enterprise,,{{ubl|[[Body worn video|Body worn cameras]]|[[Digital evidence]] management|[[Electroshock weapon]]s}},December 2024,,{{Start date and age|1993}},,,,"[[Scottsdale, Arizona]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Company,Baker Hughes logo.svg,,Baker Hughes.jpg,,"Headquarters in the [[Energy Corridor]], Houston, Texas",,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|BKR| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|BKR}} (Class A),{{ISIN|sl|=|n|pl|=|y|US05722G1004}},[[Petroleum industry]],,,,,,[[Lorenzo Simonelli (business manager)|Lorenzo Simonelli]] ([[Chairman#Public corporations|chairman]] & [[Chief executive officer|CEO]]),{{increase}} {{US$|27.83 billion|link|=|yes}} (2024),{{increase}} US$3.081 billion (2024),{{increase}} US$3.008 billion (2024),{{nowrap|increase| US$38.36 billion (2024)}} {{increase}} US$38.36 billion (2024),{{increase}} US$17.06 billion (2024),"{{circa|57,000}} (2024)",{{URL|bakerhughes.com}},Baker Hughes,,,,,{{Start date and age|1908}} (as Hughes Tool Company)<br> {{Start date and age|1987}} (as Baker Hughes),,,,"[[Houston, Texas]], U.S.",,,,,,,,,,,,,,,,,,,,,{{unbulleted list| [[Hughes Tool Company]] | Baker Oil Tool Company}},,,,,,"Baker Hughes Incorporated (1987–2017)<br />Baker Hughes, a GE Company (2017–2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball Corporation,File:Ball Corporation logo 2024.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|BALL|[[S&P 500]] component}} {{NYSE|BALL}},{{ISIN|sl|=|n|pl|=|y|US0584981064}},{{unbulleted list|[[Packaging]]}},,,,,,Ronald J. Lewis ([[Chief executive officer|CEO]]),{{nowrap| |decrease| |US$|11.8&nbsp;billion|link|=|yes| (2024)}} {{decrease}} {{US$|11.8&nbsp;billion|link|=|yes}} (2024),{{nowrap| |decrease| |US$|763&nbsp;million| (2024)}} {{decrease}} {{US$|763&nbsp;million}} (2024),{{increase}} {{US$|4.01&nbsp;billion}} (2024),{{decrease}} {{US$|17.6&nbsp;billion}} (2024),{{increase}} {{US$|5.86&nbsp;billion}} (2024),"{{circa|16,000}}",{{URL|https://ball.com}},Ball Corporation,,"[[Metal]] containers, [[Packaging and labelling|packaging]],",2024,,{{Start date and age|df|=|yes|1880}},,,,,"[[Westminster, Colorado]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of America Corporation,Bank of America logo.svg,250px,Bank of America Corporate Center.jpg,250px,[[Bank of America Corporate Center]] in April 2006,,[[Public company|Public]],"{{unbulleted list
| |NYSE|BAC|
| [[S&P 100]] component
| [[S&P 500]] component}} {{NYSE|BAC}}",{{ISIN|sl|=|n|pl|=|y|US0605051046}},[[Financial services]],,,,,Worldwide,{{Unbulleted list|[[Brian Moynihan]] ([[chairman]] and [[Chief executive officer|CEO]])|Bruce Thompson ([[Chairman|vice chairman]])}},{{increase}} {{US$|102&nbsp;billion|link|=|yes}} (2024),{{increase}} US$29.3&nbsp;billion (2024),{{increase}} US$27.1&nbsp;billion (2024),{{increase}} US$3.26&nbsp;trillion (2024),{{nowrap |increase| US$296&nbsp;billion (2024)}} {{increase}} US$296&nbsp;billion (2024),"{{circa|213,000}} (2024)",{{URL|https://www.bankofamerica.com/|bankofamerica.com}},Bank of America,,{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},,{{Unbulleted list|[[BofA Securities]]|[[Merrill (company)|Merrill]]|[[Bank of America Private Bank]]}},{{start date and age|1998}} (via the merger of BankAmerica & NationsBank),,,"{{circa|3,700}} retail financial centers, {{circa|15,000}} [[automated teller machine|ATMs]] (2024)","[[Bank of America Corporate Center]], [[Charlotte, North Carolina]], US (corporate/legal)
<br><br>[[Bank of America Tower (Manhattan)]], [[New York City]], US (executive)",,,,,,,,,,,,,,,,,,,,,{{unbulleted list|[[Bank of America (1904-1998)|BankAmerica]]|[[NationsBank]]}},,,,,{{increase}} US$1.88&nbsp;trillion (2024),,,,,[[Berkshire Hathaway]] (8.17%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxter International Inc.,Baxter.svg,,,,,,[[Public company|Public]],{{Unbulleted list|NYSE|BAX|[[S&P 500]] component}} {{NYSE|BAX}},,[[Medical equipment]],{{Start date and age|1931}},,,,,"[[Andrew Hider]] ([[chairman]] & [[Chief executive officer|CEO]])<br />
Joel Grade ([[Chief financial officer|CFO]])",{{increase}} {{US$|10.6&nbsp;billion|link|=|yes}} (2024),{{decrease}} {{US$|14&nbsp;million}} (2024),{{decrease}} {{US$|-649&nbsp;million}} (2024),{{decrease}} {{US$|25.8&nbsp;billion}} (2024),{{decrease}} {{US$|6.96&nbsp;billion}} (2024),"{{circa|38,000}} (2024)",{{URL|baxter.com}},Baxter International,Donald Baxter,Medical supplies to treat [[haemophilia]] and [[kidney disease]] and provide [[intravenous therapy]],,,,,,,,"[[Deerfield, Illinois]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Becton, Dickinson and Company",BD (company) logo.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|BDX|[[S&P 500]] component}} {{NYSE|BDX}},,"[[Medical equipment]], [[Consulting]]",,{{ubl|[[Maxwell Becton]]|[[Fairleigh S. Dickinson]]}},,,Worldwide,"{{plainlist|
*  Tom Polen (chairman, CEO and president)
*  Christopher DelOrefice (CFO)}}",{{increase}} {{US$|21.8&nbsp;billion|link|=|yes}} (2025),{{increase}} US$2.58&nbsp;billion (2025),{{decrease}} US$1.68&nbsp;billion (2025),{{decrease}} US$55.3&nbsp;billion (2025),{{decrease}} US$25.4&nbsp;billion (2025),"72,000 (2025)",{{URL|bd.com}},Becton Dickinson,,,,{{ubl|BD Interventional|BD Life Sciences|BD Medical}},"{{Start date and age|1897}} in [[East Rutherford, New Jersey]], U.S.","{{nowrap| [[Franklin Lakes, New Jersey]]}}",U.S.,,"[[Becton, Dickinson and Company headquarters|1 Becton Drive]]",,,,,,,,,,,,,,,Financials {{as of|2025|09|30|lc|=|y|df|=|US}} .,,,BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Hathaway Inc.,Berkshire Hathaway.svg,275,OmahaKiewitPlaza.jpg,,"[[Blackstone Plaza]], the location of Berkshire's corporate offices in [[Omaha, Nebraska]]",,[[Public company|Public]],"{{ubl|class|=|nowrap
 | |NYSE|BRK.A| ([[Class A share|Class A]])
 | |NYSE|BRK.B| ([[Class B share|Class B]])
 | [[S&P 100]] component (BRK.B)
 | [[S&P 500]] component (BRK.B)}} {{NYSE|BRK.A}} ([[Class A share|Class A]]) {{NYSE|BRK.B}} ([[Class B share|Class B]])",{{ISIN|sl|=|n|pl|=|y|US0846707026}},[[Conglomerate (company)|Conglomerate]],,,,,Worldwide,"{{Unbulleted list
 | [[Warren Buffett]]<br>|small|(chairman and CEO)|
 | [[Greg Abel]]<br>|small|(vice chairman, Non-Insurance)|
 | [[Ajit Jain]]<br>|small|(vice chairman, Insurance)|}} {{small|(chairman and CEO)}} {{small|(vice chairman, Non-Insurance)}} {{small|(vice chairman, Insurance)}}",{{increase}} {{US$|371.4&nbsp;billion|link|=|yes}} (2024),{{decrease}} {{US$|110.4&nbsp;billion}} (2024),{{decrease}} {{US$|88.99&nbsp;billion}} (2024),{{increase}} {{US$|1.154&nbsp;trillion}} (2024),{{increase}} {{US$|651.7&nbsp;billion}} (2024),"392,400 (2024)",{{URL|berkshirehathaway.com}},Berkshire Hathaway,[[Oliver Chace]],{{collapsible list|[[Insurance#Types|Property & casualty insurance]]|[[Reinsurance]]|[[Rail transport]]|[[electric power industry|Electric power]]|[[Natural gas]]|[[Real estate]] services|Industrial parts & materials|[[Mobile home]]s|Building materials|[[Recreational vehicle]]s|[[Apparel]]|[[Retail]] stores & services|[[Aviation]] services}},,,{{Start date and age|1839}},"[[Omaha, Nebraska]]",U.S.,,[[Blackstone Plaza]],,,,See [[List of assets owned by Berkshire Hathaway|List of subsidiaries]],"{{ubl
 | [[Valley Falls Company]] (1839–1929)
 | [[Berkshire Fine Spinning Associates]] (1929–1955)
 | [[Hathaway Manufacturing Company]] (1888–1955)}}",,,,,,,,,,,,,,,,,"Warren Buffett (14.3%) {{efn|Warren Buffett is the single largest shareholder, controlling 30.3% of the voting power and approximately 14.3% of the economic interest in the company.|ref|{{cite web |title=Proxy Statement for Annual Meeting of Shareholders |url=https://berkshirehathaway.com/meet01/2025proxystatement.pdf |publisher=Berkshire Hathaway |access-date=May 5, 2025 |page=7 |date=May 3, 2025}}|</ref>}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Buy Co., Inc.",Best Buy logo 2018.svg,170,Best Buy.jpg,,"Best Buy store in Onalaska, Wisconsin",,[[Public company|Public]],{{ubl|NYSE|BBY|[[S&P 500]] component}} {{NYSE|BBY}},,[[Retail]],,{{ubl|[[Richard M. Schulze]]|James Wheeler}},,,,"{{ubl|David Kenny (chairman)|ref| name = JPDretires|{{cite web|url=https://corporate.bestbuy.com/2024/best-buy-announces-retirement-of-board-chairman-j-patrick-doyle-appoints-david-kenny/|title=Best Buy Announces Retirement of Board Chairman J. Patrick Doyle, Appoints David Kenny|date=7 March 2024}}|</ref>|Corie Barry (CEO)}}",{{decrease}} {{US$|41.5&nbsp;billion|link|=|yes}} (2025),{{decrease}} {{US$|1.26&nbsp;billion}} (2025),{{decrease}} {{US$|927&nbsp;million}} (2025),{{decrease}} {{US$|14.8&nbsp;billion}} (2025),{{decrease}} {{US$|2.81&nbsp;billion}} (2025),"{{circa|85,000}}",{{Official URL}},Best Buy,,"{{ubl
|[[Consumer electronics]]
|Appliances}}",2025,Best Buy Canada,"{{start date and age|1966|8|22}} in [[St. Paul, Minnesota]], United States, as Sound of Music",,U.S.,,"[[Richfield, Minnesota]]",,Logo used since 2018,,{{ubl|class|=|nowrap|Best Buy Mobile|Best Buy Express|[[Geek Squad]]|[[Lively (company)|Lively]]|Magnolia Home Theater|[[Pacific Sales]]}},,"1,117",,,Tech repair,,,,,,Financials {{as of|2025|02|01|lc|=|y|df|=|US}} .,,,,,,,,,,,,{{ubl|Sound of Music (1966–1983)|Best Buy Co. Superstores (1983–1984)|Best Buy Superstores (1984–1989)}},,,2025,,"{{ubl|class|=|nowrap|[[United States]]|
|[[Canada]]}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-Techne Corporation,File:Bio-Techne logo.svg,,,,,"Research and Diagnostic Systems, Inc. (1976–1985)<br />Techne Corporation (1985–2014)",[[Public company|Public]],{{ubl|NASDAQ|TECH|[[S&P 500]] component}} {{NASDAQ|TECH}},,[[Biotechnology]],,,,,,{{ubl|Kim Kelderman ([[Chief executive officer|CEO]])|James Hippel ([[Chief financial officer|CFO]])|Robert V. Baumgartner ([[Chairman]])}},{{increase}} {{US$|1.22&nbsp;billion|link|=|yes}} (2025),{{decrease}} US$102&nbsp;million (2025),{{decrease}} US$73.4&nbsp;million (2025),{{decrease}} US$2.56&nbsp;billion (2025),{{decrease}} US$1.92&nbsp;billion (2025),"3,100 (2025)",{{url|bio-techne.com}},Bio-Techne,Roger C. Lucas,{{ubl|[[Protein]]s|[[Reagent]]s|[[Diagnostic]] instruments}},,,{{Start date and age|1976}},,,,"{{nowrap|[[Minneapolis, Minnesota]], U.S.}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
