name,logo,type,traded_as,industry,founded,hq_location,hq_location_city,hq_location_country,area_served,key_people,products,revenue,owner,num_employees,subsid,homepage,_company_name,native_name,logo_size,image,image_caption,foundation,founder,location_city,location_country,services,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,owners,footnotes,website,image_size,module,num_employees_year,parent,location,logo_upright,ISIN,aum,ratio,predecessor,logo_caption,former_name,rating,native_name_lang,trading_name,brands,romanized_name,box_width,other_name,color,logo_width,image_width,system,status,locale,start,end,stations,ridership2,open,yearcommenced,operator,character,stock,linelength,gauge,minradius,maxincline,electrification,speed,map,map_state,embedded,divisions,founders,defunct,fate,trade_name,num_locations,num_locations_year,production,pic,piccap,t,l,p,image_alt,caption,linelength_km,tracks,signalling,successor,company_name,company_logo,company_type,airline,fleet_size,destinations,IATA,ICAO,callsign,hubs,secondary_hubs,focus_cities,frequent_flyer,alliance,subsidiaries,headquarters,image_upright,commenced,bases,profit,profit_year
Industrial and Commercial Bank of China,Industrial and Commercial Bank of China logo.svg,[[Public company|Public]]<br />[[State-owned enterprise|State-owned]],{{ubl|SSE|601398| (A ordinary)|hkse|1398| (H ordinary) |SSE|360011| (CNY preference)|SEHK|84602| ([[Renminbi|CNH]] preference)|SEHK|4603| (US$ preference)|SEHK|4604| (€ preference)|[[Hang Seng Index|Hang Seng Component]]|[[CSI A100 Index|CSI A100]]}} {{SSE|601398}} (A ordinary) {{hkse|1398}} (H ordinary) {{SSE|360011}} (CNY preference) {{SEHK|84602}} ([[Renminbi|CNH]] preference) {{SEHK|4603}} (US$ preference) {{SEHK|4604}} (€ preference),[[Financial services]],,,,,,"Liao Lin, chairman and president",{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},"{{decrease}} {{CNY|link|=|yes|786.12&nbsp;[[1,000,000,000|billion]]}} <br />$110.12&nbsp;billion {{small|(2024)}}","{{ubl|[[Chinese Central Government]]|(70.82% voting rights)|– [[Central Huijin Investment]] Co., Ltd (34.71%)|ref| name=α202029|[http://www.huijin-inv.cn/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOL9DMwMDJ2DDbwMfB3dDBwtDFx9_Y29jPxDzYAKInErcPc2xqvf15SAfhMi9Tu7O3qYmPsYGBiYWBgZeLo4ebiYW_oaGHiaEaffAAdwNCDk_3D9KHxKwCGAV4EJTAE-P4AV4HFkQW5oaGiEQaZnuqIiAF07oL0!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/ 中央汇金投资有限责任公司] – ([https://www.google.com/search?q=%E4%B8%AD%E5%A4%AE%E6%B1%87%E9%87%91%E6%8A%95%E8%B5%84%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8&rlz=1C1GCEA_enGB887GB887&oq=%E4%B8%AD%E5%A4%AE%E6%B1%87%E9%87%91%E6%8A%95%E8%B5%84%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8&aqs=chrome..69i57.217376j0j4&sourceid=chrome&ie=UTF-8 Central Huijin Investment Co., Ltd]) &  [https://www.banktrack.org/bank/industrial_commercial_bank_of_china Bank Profiles], BankTrack, published November 2016, republished 2019 April 12 – accessdate 7 February 2020|</ref>|– [[Ministry of Finance of the People's Republic of China|Ministry of Finance]] (34.60%)|– [[China Securities Finance]] (1.23%)|[[Temasek Holdings]] (2.44% voting rights)|nowrap|[[National Council for Social Security Fund|NSSF]] (2.43% voting rights)|Others (24.31% voting rights)}} {{nowrap|[[National Council for Social Security Fund|NSSF]] (2.43% voting rights)}}","{{decrease}} 419,000 {{small|(2025)}}",,{{URL|https://www.icbc.com.cn|icbc.com.cn}} <br> {{URL|https://www.icbc-ltd.com/icbcltd/en/|icbc-ltd.com/en}} <br> {{URL|https://www.icbc-us.com|icbc-us.com}},Industrial and Commercial Bank of China,中国工商银行<br />''Zhōngguó Gōngshāng Yínháng'',,File:ICBC ChanganAVe.jpg,ICBC head office in Beijing,{{Start date and age|1984}},,[[Beijing]],[[China]],,,"{{increase}} {{CNY|link|=|yes|417.30&nbsp;[[1,000,000,000|billion]]}} <br />$58.59&nbsp;billion {{small|(2024)}}",,"{{increase}} {{CNY|link|=|yes|366.94&nbsp;[[1,000,000,000|billion]]}} <br />$51.54&nbsp;billion {{small|(2024)}}",,{{increase}} {{CNY|link|=|yes|48.82&nbsp;[[Trillion (short scale)|trillion]]}} US$6.86&nbsp;trillion {{small|(2024)}},,{{increase}} {{CNY|link|=|yes|3.97&nbsp;[[Trillion (short scale)|trillion]]}} <br />$557.61&nbsp;billion {{small|(2024)}},,,,,,,,,,,{{ISIN|sl|=|n|pl|=|y|CNE1000003G1}},{{increase}} {{CNY|link|=|yes|6.9&nbsp;[[Trillion (short scale)|trillion]]}} ≈ US$1.0&nbsp;trillion {{small|(2022)}},{{increase}} 12.87% (CET1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yili Group<br />伊利集团,Yili Logo.png,[[Public Company|Public]]; partly [[state-owned enterprise|state-owned]],{{SSE|600887}} <br>CSI A50,[[Dairy]],,,,,,Pan Gang (Chairman),[[Dairy products]],,,,,{{Official URL}},Inner Mongolia Yili Industrial Group,,,呼和浩特-伊利 - panoramio.jpg,Yili Office in Hohhot,{{Start date and age|1993}},,,,,,,,,,,,,,,,,,"{{infobox Chinese
|child |=| yes
|s     |=| 内蒙古伊利实业集团股份有限公司
|t     |=| 內蒙古伊利實業集團股份有限公司
|p     |=| Nèi Měnggǔ Yīlì Shíyè Jítuán Gǔfènyǒuxiàngōngsī}}",,,"[[Hohhot, Inner Mongolia]], China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Money Information Co., Ltd",East Money logo.png,[[Public company|Public]],{{szse|300059}},"[[Financial services]], [[Technology company|technology]]",,,,,,Qi Shi (Chairman),,{{Decrease}} {{CNY|link|=|yes|11.08 billion}} (2023),,"5,992 (2023)",,{{Official URL}},East Money,东方财富信息股份有限公司,,,,{{start date and age|2005|01|20}},[[Qi Shi]],,China,,,,,{{Decrease}} {{CNY|link|=|yes|8.19 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|239.58 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|71.96 billion}} (2023),,,,,,,,,[[Shanghai]],,,,,Shanghai Dong Cai Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREE Electric Appliances Inc. of Zhuhai,Gree electric appliances logo.svg,[[public company|Public]],{{szse|000651}} <br>[[CSI A100 Index|CSI A100]],[[Home appliance]]s,{{start date and age|1991}},,,,Worldwide,[[Dong Mingzhu]] (Chairwoman & [[President (corporate title)|President]]),[[Major appliances]]<br>[[Small appliances]],$27.9 billion (2022),,,,{{ofurl}} <br> {{URL|https://greecomfort.com}},Gree Electric,,,,,,,"[[Zhuhai]], [[Guangdong]]",China,,,,,$3.7 billion (2022),,$44.3 billion (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mindray Bio-Medical Electronics Co., Ltd.",Mindray logo (2024).png,[[Public company|Public]],{{SZSE|300760}} <br>CSI A50,[[Healthcare industry|Healthcare]],,Mindray Building,"[[Shenzhen]], [[Guangdong]]",[[China]],Worldwide,[[Li Xiting]] (chairman)<br />[[Xu Hang]] (co-founder) <br /> Cheng Minghe (executive VP) <br /> Wu Hao (CEO),{{Unbulleted list|[[Medical_device_connectivity|IT Solution]]s|[[Monitoring_(medicine)#Medical_monitor|Patient Monitor]]s|[[Medical_ultrasound|Ultrasound System]]s|[[Anaesthetic_machine|Anesthesia Delivery System]]s|[[Total_analysis_system|Total Laboratory Automation (TLA)]]s|[[Hematology_analyzer|Hematology Analyzer]]s|[[Ventilator]]s|[[Automated_external_defibrillator|AED]]s}},{{increase}} {{US$|5.1 Billion|link|=|yes}} (2024),,"21,000 (2025)",,{{URL|http://www.mindray.com/en|mindray.com}},Mindray,,,Mindray_headquarter.jpg,Headquarters in Shenzhen,{{start date and age|1991}} <br>[[Shenzhen]],,,,,,{{increase}} {{US$|1.54 Billion|link|=|yes}} (2024),,{{increase}} {{US$|1.46 Billion|link|=|yes}} (2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bank of Communications Co., Ltd.",Bank of Communications Logo.svg,[[Public company|Public]]; [[state-owned enterprise]],{{ubl|SSE|601328| (A share)|SEHK|03328| (H share)|[[Hang Seng Index]] component|SSE|360021| (A preference)|SEHK|04605| (H preference)}} {{SSE|601328}} (A share) {{SEHK|03328}} (H share) {{SSE|360021}} (A preference) {{SEHK|04605}} (H preference),[[Financial services]],,,,,,"[[Niu Ximing]], chairman of the board<br>[[Peng Chun]], President",{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},{{Increase}} {{CNY|link|=|yes|144.08 billion}} <br><small>$20.53&nbsp;billion (2019)</small>,{{ubl|various entities of the [[State Council of the People's Republic of China|State Council]] (34.55%)|[[National Council for Social Security Fund|National Social Security Fund]] (14.7%)|[[HSBC]] (19.05%)|general public (31.7%)|ref| name=BOCOM2016AR}},"87,828 <small>(2019)</small>",BOCOM (Hong Kong)<br>BOCOM International<br>BOCOM Insurance<br>BOCOM Leasing<br>BOCOM Schroder,[https://www.bankcomm.com/BankCommSite/shtml/jyjr/en/2600212/list.shtml?channelId=2600212 bankcomm.com],Bank of Communications,{{lang|zh-Hans|交通银行股份有限公司}},250px,Bocom Financial Towers.jpg,"[[Bocom Financial Towers]], the bank's head office in [[Shanghai]]",{{start date and age|1908}} (origin)<br> {{start date and age|1986}} <br>(re-establishment),,,,,,{{Increase}} {{CNY|88.20 billion}} <br><small>$12.57&nbsp;billion (2019)</small>,,{{Increase}} {{CNY|77.28 billion}} <br><small>$10.78&nbsp;billion (2019)</small>,,{{Increase}} {{CNY|10.670 trillion}} <br><small>$1.52&nbsp;trillion (2020)</small>,,{{Increase}} {{CNY|802.54 billion}} <br><small>$114.36&nbsp;billion (2020)</small>,,,,,250px,,,[[State Council of the People's Republic of China|Central Government of China]],"[[Shanghai]], [[China]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wanhua Chemical Group Co., Ltd.",,Public,{{ubl|SSE|600309|[[SSE 50]] Component|CSI A50}} {{SSE|600309}},Chemical,{{start date|1998|12|16|df|=|yes}} in [[Yantai]],,,,{{ubl|China|Hungary|exported Worldwide}},Liao Zengtai (Chairman & [[Secretary of Party Committee]]),"{{ubl|polymers, e.g.|[[Methylene diphenyl diisocyanate]]}}","{{decrease}} RMB68,050&nbsp;million",{{aligned table|Yantai Guofeng*|(21.59%)|Prime Partner Int'l|(10.70%)|zh|s|=|中诚投资*|labels|=|no|(10.52%)|zh|s|=|中凯信创业投资*|labels|=|no|(|0|9.61%)}} {{zh|s|=|中诚投资*|labels|=|no}} {{zh|s|=|中凯信创业投资*|labels|=|no}} {{0}} 9.61%),{{increase}} 27000,"[[BorsodChem]], etc.",{{url|whchem.com}},Wanhua Chemical Group,,,,,,Wanhua Group Corporation and other investors,Yantai,China,,2019,,,"{{decrease}} RMB10,130&nbsp;million",2019,"{{increase}} RMB96,865&nbsp;million",2019,"{{increase}} RMB42,364&nbsp;million",2019,,"source of data: annual report; in [[consolidated financial statement]]; profit and equity excluding minority interest; in [[Chinese accounting standards]]; owners marked with ""*"" are in the same [[shareholders' agreement]]",,,"{{Chinese|child|=|yes|s|=|万华化学集团股份有限公司|l|=|Wanhua Chemical Group, Company limited by shares|altname|=|short name|s2|=|万华化学|l2|=|Wanhua Chemical|altname3|=|former name|s3|=|烟台万华聚氨酯股份有限公司|altname4|=|former short name|s4|=|烟台万华}}",2023,,,,,,,,Wanhua Group logo (shared with sister companies),{{bulleted list|Yantai Wanhua Polyurethane|Yantai Wanhua Polyurethanes}},"{{aligned table|Baa2|([[Moody's]], March 2019)|ref|{{cite press release|url=https://www.moodys.com/research/Moodys-announces-completion-of-a-periodic-review-of-ratings-of--PR_396245|title= Announcement of Periodic Review: Moody's announces completion of a periodic review of ratings of Wanhua Chemical Group Co., Ltd. |date=12 March 2019|access-date=16 January 2020|publisher=Moody's Investors Service|location=Hong Kong}}|</ref>|BBB|(S&P Global, November 2018)|ref|{{cite news|url=https://www.spglobal.com/marketintelligence/en/news-insights/trending/y7tixfvqlw_bmmsyvyy6kg2|title= S&P upgrades Wanhua Chemical |date=26 November 2018|work=S&P Global Market Intelligence|first=Michael Paolo|last=Jamias|access-date=16 January 2020}}|</ref>}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOE Technology Group,Boe Technology Group logo.svg,[[Public company|Public]],{{ubl|SZSE|000725| ([[A-share (mainland China)|A share]])|SZSE|200725| ([[B-share (mainland China)|B share]])|CSI A50}} {{SZSE|000725}} ([[A-share (mainland China)|A share]]) {{SZSE|200725}} ([[B-share (mainland China)|B share]]),"{{plainlist|
* [[Electronics]]
* [[Health care]]
* [[Internet of things]]
* [[Photovoltaics]]}}",,,,,Worldwide,{{Unbulleted list|Chen Yanshun (Chairman)|Gao Wenbao (President)}},"{{plainlist|
* [[LCD]]s
* [[OLED]]s
* [[Flexible display]]s
* [[MicroLED]]s
* [[Fingerprint#Fingerprint sensors|Fingerprint sensors]]
* Optoelectronic sensors
* [[Solar panel]]s}}",,,"90,563 (2023)",[[SES-imagotag]]<br />Varitronix,{{Official URL}},BOE Technology Group,京东方科技集团股份有限公司,200,BOE Technology headquarters (20221017164028).jpg,Headquarters,{{start date and age|1993|04|df|=|y}},Wang Dongsheng,[[Beijing]],China,,,{{Decrease}} {{CNY|link|=|yes|174.54 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|369.87 million}} (2023),,{{Decrease}} {{CNY|link|=|yes|419.19 billion}} (2023),,{{Decrease}} {{CNY|link|=|yes|197.80 billion}} (2023),,,,,,,,,,,,,,,,Beijing Oriental Electronics Group (1993–2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of Jiangsu Co. Ltd.,Bank of Jiangsu.png,[[Public company|Public]],{{sse|600919}},[[Financial services]],{{start date and age|2007|1|24|df|=|yes}},,,,,Xia Ping (Chairman)<br>Ge Renyu (President),,,,"19,597 (2023)",,{{URL|www.jsbchina.cn}},Bank of Jiangsu,江苏银行股份有限公司,,BANK OF JIANGSU SHENZHEN LUOHU BRANCH (3).jpg,"Branch in [[Luohu, Shenzhen]]",,,,,,,{{Increase}} {{CNY|link|=|yes|74.29 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|30.01 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|3.40 trillion}} (2023),,{{Increase}} {{CNY|link|=|yes|259.12 billion}} (2023),,,,,,,,,"[[Nanjing]], [[Jiangsu]], China",,,,[[Tier 1 capital|Tier 1]] 11.25% (2023),,,,,zh-cn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxshare Precision Industry Co. Ltd.,Luxshare.png,[[Public company|Public]],{{szse|002475}} <br>CSI A50,Electronic connector manufacturing,{{start date and age|2004}},,"[[Bao'an, Shenzhen]], [[Guangdong]]",China,,,Electronic components,"[[US$]] 32,759 million (2023)",,"232,585 (2023)",,,Luxshare Precision Industry,立讯精密工业股份有限公司,,,,,[[Wang Laichun]],,,,,,,"[[US$]] 1,547 million (2023)",,"[[US$]] 22,823 million (2023)",,,,,,{{Official URL}},,,,,,,,,,,,,,zh-hans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenzhen Inovance Technology Co., Ltd",Shenzhen Inovance Technology.svg,[[Public company|Public]],{{Szse|300124}} <br>CSI A50,[[Electrical equipment]],,,,,,Zhu Xingming (Chairman & CEO),,{{Increase}} {{CNY|link|=|yes|30.42 billion}} (2023),,"23,685 (2023)",,{{URL|www.inovance.com}},Shenzhen Inovance Technology,深圳市汇川技术股份有限公司,,,,{{start date and age|2003|04}},Zhu Xingming,,,,,,,{{Increase}} {{CNY|link|=|yes|4.78 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|48.96 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|25.00 billion}} (2023),,,,,,,,,"[[Shenzhen]], [[Guangdong]], [[China]]",,,,,,,,,,Inovance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Bank of China,Agricultural Bank of China logo.svg,[[Public company|Public]],{{Unbulleted list|Shanghai Stock Exchange|601288| (A ordinary)|SSE|360001| (A preference 1)|SSE|360008| (A preference 2)|hkex|1288| (H ordinary)}} {{Shanghai Stock Exchange|601288}} (A ordinary) {{SSE|360001}} (A preference 1) {{SSE|360008}} (A preference 2) {{hkex|1288}} (H ordinary),[[Financial services]],,,,,,Zhao Huan ([[President (Corporation)|President]]),{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},{{Increase}} {{CNY|link|=|yes|602.56 billion}} <br/><small>$153.9&nbsp;billion {{small|(2020)}} </small>,{{Unbulleted list|[[Central Huijin Investment|Central Huijin]] (40.42%)|[[Ministry of Finance of the People's Republic of China|Ministry of Finance]]&nbsp;(39.21%)|[[National Council for Social Security Fund|National&nbsp;Social&nbsp;Security&nbsp;Fund]]&nbsp;(3.02%)|[[China Securities Finance]] (1.92%)}},"{{Decrease}} 467,631 {{small|(2020)}}",,{{URL|https://www.abchina.com/en/|abchina.com/en/}},Agricultural Bank of China,中国农业银行,300px,中国农业银行 西侧.jpg,"Headquarters in [[Beijing, China]]",{{start date and age|df|=|y|1951|7|10}},,,,,,"{{Increase}} {{CNY|251.67 billion}} <br />$36,6&nbsp;billion {{small|(2018)}}",,{{Increase}} {{CNY|202.63 billion}} <br />$29.5&nbsp;billion {{small|(2018)}},,{{Increase}} {{CNY|22.609 trillion}} <br/><small>$3.286&nbsp;trillion {{small|(2018)}} </small>,,{{Increase}} {{CNY|1.67 trillion}} <br/>$243&nbsp;billion {{small|(2018)}},,,,,300px,{{Infobox Chinese|child|=|yes|s|=|中国农业银行|t|=|中國農業銀行|p|=|Zhōngguó Nóngyè Yínháng|s2|=|农行|t2|=|農行|p2|=|Nóngháng|order|=|st}},,,"[[Beijing, China]]",,{{Unbulleted list|ISIN|sl|=|n|pl|=|y|CNE100000RJ0|ISIN|sl|=|n|pl|=|y|CNE100000Q43}} {{ISIN|sl|=|n|pl|=|y|CNE100000RJ0}} {{ISIN|sl|=|n|pl|=|y|CNE100000Q43}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hangzhou Hikvision Digital Technology Co., Ltd.",Hikvision logo.svg,[[Public company|Public]]; partly [[state-owned enterprise|state-owned]],{{SZSE|002415}} <br>[[CSI A100 Index|CSI A100]],[[Video surveillance]]<br />[[Manufacturing industry|Manufacturing]],,,,,Worldwide,{{aligned table|Gong Hongjia|(vice-chairman)|ill|Chen&nbsp;Zongnian|zh|陈宗年|(chairman)|Hu&nbsp;Yangzhong|(director)}} {{ill|Chen&nbsp;Zongnian|zh|陈宗年}},CCTV and network surveillance systems,,"{{aligned table|nowrap|Chinese Central Government|<br />(via [[China Electronics Technology Group#Subsidiaries|China Electronics Technology HIK Group Co., Ltd.]])|(38.88%)|ref| name="":2""|{{cite web|url=http://static.cninfo.com.cn/finalpage/2021-04-17/1209712177.PDF|title=Hikvision 2021 Quarter 1 Report January to March 2021|website=巨潮资讯网|publisher=HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO., LTD.|date=17 April 2021|access-date=12 May 2021|archive-date=2021-04-21 |archive-url=https://web.archive.org/web/20210421154353/http://static.cninfo.com.cn/finalpage/2021-04-17/1209712177.PDF|url-status=live}}|</ref>|
|Gong Hongjia|(10.30%)|ref| name="":2""|
|Xinjiang Weixun Investment Management Limited Partnership|(4.82%)|ref| name="":2""}} {{nowrap|Chinese Central Government}} <br />(via [[China Electronics Technology Group#Subsidiaries|China Electronics Technology HIK Group Co., Ltd.]])","42,685",,,Hangzhou Hikvision Digital Technology,,,HikvisionHangzhou.jpg,"Hikvision headquarters in [[Hangzhou, Zhejiang]]",{{start date and age|2001}},{{ubl|HIK Information Technology|[[Gong Hongjia]]}},,,,,,,,,,,,,,in a consolidated basis (net assets and net profit excluding minority interests); in Chinese Accounting Standards,,,"{{Infobox Chinese |child |=| yes
|s|=|杭州海康威视数字技术股份有限公司
|t|=|杭州海康威視數字技術股份有限公司
|p|=|Hángzhōu Hǎikāng Wēishì Shùzì Jìshù Gǔfèn Yǒuxiàn Gōngsī
|l|=|Hangzhou Hikvision Digital Technology. Company Limited by Shares
|order|=|st
|s2|=|海康威视
|t2|=|海康威視
|p2|=|Hǎikāng Wēishì
|l2|=|HIK–vision|NoteTag|See also in the wiktionary for the individual meaning of the character 威 and 視; the concatenation 威視 has no meaning other than a compound word that is phonetically similar to vision.}} {{NoteTag|See also in the wiktionary for the individual meaning of the character 威 and 視; the concatenation 威視 has no meaning other than a compound word that is phonetically similar to vision.}}",2021,{{aligned table|CET HIK Group|(direct)|[[China Electronics Technology Group]]|(indirect)|[[State-owned Assets Supervision and Administration Commission|SASAC]]|(ultimate)}},"[[Binjiang, Hangzhou]], [[Zhejiang]], China",,,,,,,,,zh,,"Hiksemi (HikStorage), Ezviz, Hilook, Hiwatch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzhou Laojiao <br /> 泸州老窖,luzhou_laojiao_icon_logo.svg,[[Public]] <br /> [[State-Owned Enterprise]],{{SZSE|000568}},[[Alcoholic Beverage]]s,,,,,Worldwide,Liu Miao <br /> ([[Chairman]]) <br /> ([[Chinese Communist Party Committee Secretary|Committee Secretary]]),[[Baijiu]],,,"3,605 (2022)",,[http://www.lzlj.com lzjl.com] (Chinese)<br />[http://en.lzljglobal.com/index.aspx lzljglobal.com] (Global),Luzhou Lao Jiao,,,,,{{start date and age|1950}},,"[[Luzhou]], [[Sichuan]]",[[China]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Shenhua Energy,File:China Shenhua Energy Logo.png,Public,{{ubl|SSE|601088|sehk|1088|CSI A50}} {{SSE|601088}} {{sehk|1088}},[[Electricity]]<br/>[[Mining]],,,,,China,Zhang Yuzuo (chairman),[[Coal]]<br/>[[Electric power]],,,"74,949 (2011)",,{{url|www.csec.com}},China Shenhua Energy,中国神华能源股份有限公司,,,,1995,,[[Beijing]],China,,,,,,,,,,,,,,,,,[[Shenhua Group]] (73.06%),,,,,,,,,,zh,,,Zhōngguó shénhuá néngyuán gǔfèn yǒuxiàn gōngsī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing–Shanghai high-speed railway,CRH-logo.svg,[[High-speed rail]],,,,,,,,,,,"Beijing–Shanghai high-speed railway Co., Ltd.",,,,Beijing-Shanghai High Speed Railway,京沪高速铁路<br>京沪高铁<br>京沪客运专线,,CR400BF-BZ-5209@BJN (20210627180508).jpg,,,,,,,,,,,,,,,,,,{{URL|http://www.cr-jh.cn/}},,,,,,,,,,,,,,zh-Hans,,,,300px,Jinghu high-speed railway,{{rcr|CRH}},40px,300px,[[China Railway High-speed]],Operational,[[North China|North]] and [[East China]],[[Beijing South railway station|Beijing South]],[[Shanghai Hongqiao railway station|Shanghai Hongqiao]]/[[Shanghai railway station|Shanghai]],24,"798,000 (daily record)<br />210 million per year (2019)<br>180 million per year (2017)<br /> 1.35 billion first 10 years",{{Start date|2011|6|30|df|=|y}},{{Start date|2008|4|18|df|=|y}},"{{plainlist|
* |rint|cn|rail| [[China Railway Beijing Group|CR Beijing]]
* |rint|cn|rail| [[China Railway Jinan Group|CR Jinan]]
* |rint|cn|rail| [[China Railway Shanghai Group|CR Shanghai]]}} {{rint|cn|rail}} [[China Railway Beijing Group|CR Beijing]]
* {{rint|cn|rail}} [[China Railway Jinan Group|CR Jinan]]
* {{rint|cn|rail}} [[China Railway Shanghai Group|CR Shanghai]]",Elevated,"{{plainlist|
*[[CRH380A]], [[CRH380AL]], [[CRH380B]], [[CRH380BL]], [[CRH380CL]], [[CRH380D]]
*[[CR400AF]], [[CR400BF]], [[Fuxing (train)|CR400AF-A, CR400BF-A, CR400AF-B, CR400BF-B, CR400BF-BZ, CR400BF-Z, CR400AF-B, CR400AF-Z, CR400AF-BZ]]}}",{{cvt|1318|km|mi|0|abbr|=|on}} <br> {{cvt|1302|km|mi|0|abbr|=|on}} (main line),{{RailGauge|sg|allk|=|on}},mostly {{cvt|7000|m|mi|abbr|=|on}} or<br/> {{cvt|400|m|mi|abbr|=|on}} near Beijing South,2%,{{25 kV 50 Hz}} ([[Overhead line]]),{{cvt|350|km/h|mph|abbr|=|on|round|=|10}},[[File:Beijing-Shanghai Line.png|240px]]<br> {{Beijing–Shanghai high-speed railway RDT|inline|=|1}},collapsed,"{{Infobox Chinese|child|=|yes
|title|=|Jinghu high-speed railway
|s|=|京沪高速铁路
|t|=|京滬高速鐵路
|p|=|Jīnghù Gāosù Tiělù
|wuu|=|Cin<sup>1</sup>wu<sup>2</sup> Kau<sup>1</sup>soh<sup>4</sup> Thih<sup>4</sup>lu<sup>3</sup>
|order|=|st}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
